donor_id,gene_symbol,tumor_mean,normal_mean,tumor_minus_normal
C133,CADM3,0.0,0.0,0.0
C134,CADM3,0.0,0.0,0.0
C135,CADM3,0.0,0.0,0.0
C136,CADM3,0.0,0.0,0.0
C137,CADM3,0.0,0.0,0.0
C138,CADM3,0.0,0.0,0.0
C139,CADM3,0.0,0.0,0.0
C140,CADM3,0.0,0.0,0.0
C142,CADM3,0.0,0.0,0.0
C143,CADM3,0.0,0.0,0.0
C151,CADM3,0.0,0.0,0.0
C155,CADM3,0.0018228819826617837,0.0,0.0018228819826617837
C157,CADM3,0.0007184050627984107,0.0,0.0007184050627984107
C162,CADM3,0.0,0.0,0.0
C165,CADM3,0.0,0.0,0.0
C170,CADM3,0.0,0.0,0.0
C106,CASP14,0.0,0.0,0.0
C107,CASP14,0.0,0.0,0.0
C109,CASP14,0.0,0.0,0.0
C110,CASP14,0.0,0.0,0.0
C111,CASP14,0.0,0.0,0.0
C112,CASP14,0.0,0.020763374865055084,-0.020763374865055084
C113,CASP14,0.0,0.0,0.0
C114,CASP14,0.0,0.0,0.0
C115,CASP14,0.0,0.0,0.0
C116,CASP14,0.0,0.0,0.0
C119,CASP14,0.0,0.0,0.0
C122,CASP14,0.0,0.0,0.0
C123,CASP14,0.0,0.0,0.0
