branch_class,gene_a,gene_b,string_id_a,string_id_b,preferred_name_a,preferred_name_b,score,required_score,network_type,species,accessed_at_utc,source_database
thyroid-branch,NFKB1,NGF,9606.ENSP00000226574,9606.ENSP00000358525,NFKB1,NGF,0.711,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,MDM2,9606.ENSP00000226574,9606.ENSP00000258149,NFKB1,MDM2,0.719,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,BRCA1,9606.ENSP00000226574,9606.ENSP00000418960,NFKB1,BRCA1,0.726,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,KEAP1,9606.ENSP00000226574,9606.ENSP00000377245,NFKB1,KEAP1,0.733,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,STAT5B,9606.ENSP00000226574,9606.ENSP00000293328,NFKB1,STAT5B,0.741,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,ATM,9606.ENSP00000226574,9606.ENSP00000278616,NFKB1,ATM,0.746,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,CDKN1A,9606.ENSP00000226574,9606.ENSP00000384849,NFKB1,CDKN1A,0.751,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,CLU,9606.ENSP00000226574,9606.ENSP00000315130,NFKB1,CLU,0.761,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,HDAC3,9606.ENSP00000226574,9606.ENSP00000302967,NFKB1,HDAC3,0.767,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
thyroid-branch,NFKB1,CREB1,9606.ENSP00000226574,9606.ENSP00000387699,NFKB1,CREB1,0.773,700,functional,9606,2026-08-30T07:50:54.272243+00:00,STRING
