probe_id,gene_symbol,mad,selection_rank
ENSG00000181355.20,OFCC1,3.459999999999999,442
ENSG00000205927.4,OLIG2,3.459999999999999,443
ENSG00000188162.10,OTOG,3.459999999999999,444
ENSG00000183034.12,OTOP2,3.459999999999999,445
ENSG00000106331.14,PAX4,3.459999999999999,446
ENSG00000239677.6,PDZRN3-AS1,3.459999999999999,447
ENSG00000109132.6,PHOX2B,3.459999999999999,448
ENSG00000187980.6,PLA2G2C,3.459999999999999,449
ENSG00000239508.1,PLCH1-AS1,3.459999999999999,450
ENSG00000188086.12,PRSS45,3.459999999999999,451
ENSG00000144407.9,PTH2R,3.459999999999999,452
ENSG00000265203.1,RBP3,3.459999999999999,453
ENSG00000225300.1,RP11-1086F11.1,3.459999999999999,454
ENSG00000264026.1,RP11-1124B17.1,3.459999999999999,455
ENSG00000260653.5,RP11-114G11.5,3.459999999999999,456
ENSG00000249690.1,RP11-1336O20.2,3.459999999999999,457
ENSG00000179038.8,RP11-157K17.5,3.459999999999999,458
ENSG00000269948.5,RP11-248J23.6,3.459999999999999,459
ENSG00000276417.1,RP11-266K4.13,3.459999999999999,460
ENSG00000275297.1,RP11-292F9.1,3.459999999999999,461
ENSG00000272259.5,RP11-305P22.9,3.459999999999999,462
ENSG00000224163.4,RP11-309L24.6,3.459999999999999,463
ENSG00000268531.3,RP11-32B5.8,3.459999999999999,464
ENSG00000258676.4,RP11-386M24.3,3.459999999999999,465
ENSG00000272372.1,RP11-441F2.5,3.459999999999999,466
ENSG00000243349.2,RP11-445N18.7,3.459999999999999,467
ENSG00000233008.5,RP11-475O6.1,3.459999999999999,468
ENSG00000280217.1,RP11-638F5.2,3.459999999999999,469
ENSG00000242279.1,RP11-659G9.1,3.459999999999999,470
ENSG00000261334.1,RP11-65J3.14,3.459999999999999,471
ENSG00000250938.5,RP11-679C8.2,3.459999999999999,472
ENSG00000278950.1,RP11-67H24.3,3.459999999999999,473
ENSG00000239205.1,RP11-747D18.1,3.459999999999999,474
ENSG00000275673.1,RP11-876N24.7,3.459999999999999,475
ENSG00000235121.1,RP11-90L20.2,3.459999999999999,476
ENSG00000278451.1,RP11-923I11.8,3.459999999999999,477
ENSG00000261083.1,RP11-93I21.3,3.459999999999999,478
ENSG00000184115.16,RP13-1039J1.2,3.459999999999999,479
ENSG00000230910.2,RP3-525N10.2,3.459999999999999,480
ENSG00000280435.1,RP4-555D20.1,3.459999999999999,481
ENSG00000230387.2,RP4-737E23.2,3.459999999999999,482
ENSG00000130561.16,SAG,3.459999999999999,483
ENSG00000230568.1,SF3A3P1,3.459999999999999,484
ENSG00000122852.14,SFTPA1,3.459999999999999,485
ENSG00000125900.12,SIRPD,3.459999999999999,486
ENSG00000138083.4,SIX3,3.459999999999999,487
ENSG00000163581.13,SLC2A2,3.459999999999999,488
ENSG00000115665.8,SLC5A7,3.459999999999999,489
ENSG00000134538.2,SLCO1B1,3.459999999999999,490
ENSG00000121871.3,SLITRK3,3.459999999999999,491
ENSG00000230005.2,SNAP47-AS1,3.459999999999999,492
