"gene_symbol","module","network_input","kME_turquoise","kME_brown","kME_blue","kME_grey","max_abs_kME","best_kME_module"
"RARRES1","brown",TRUE,0.30755895473815,0.514629896758144,-0.122484792027913,-0.347956990475849,0.514629896758144,"brown"
"C1QB","brown",TRUE,0.678494341082888,0.877159809130386,-0.0574662556780595,-0.177520053296098,0.877159809130386,"brown"
"MYH7B","grey",TRUE,0.0367983208186608,-0.225711769064305,0.287634635534208,0.446885466584309,0.446885466584309,"grey"
"RP11-159H22.2","grey",TRUE,-0.00779074062739789,0.0302861690860546,0.186235226278168,0.0363980225997975,0.186235226278168,"blue"
"TIMP3","turquoise",TRUE,0.826972765620349,0.564675643695563,0.0572893982911674,0.19793165686523,0.826972765620349,"turquoise"
"CLECL1","brown",TRUE,0.461025108383497,0.667390104171234,0.077793341950312,-0.0126047940449051,0.667390104171234,"brown"
"DOK5","turquoise",TRUE,0.854074043378645,0.604807377923223,0.0336334225642293,0.0962120845060287,0.854074043378645,"turquoise"
"RASGRP1","brown",TRUE,0.511601774783501,0.856281925970436,0.113410125329568,-0.248670390077173,0.856281925970436,"brown"
"AC009495.4","grey",TRUE,0.0346098895100411,0.0922917526715803,0.16155894312851,0.126213211145515,0.16155894312851,"blue"
"PID1","grey",TRUE,0.294946379424869,0.249787280011063,0.00506459524698446,0.383349299751071,0.383349299751071,"grey"
