contrast,subtype,lineage,donor_id,tumor_score,normal_score,tumor_minus_normal
dendritic tumor vs normal,dendritic,myeloid,C110,0.028997780541761553,-0.13742713085685662,0.16642491139861817
dendritic tumor vs normal,dendritic,myeloid,C111,0.011435286332927029,-0.09290393943691093,0.10433922576983795
dendritic tumor vs normal,dendritic,myeloid,C112,0.011552350360423597,0.03158325313520615,-0.020030902774782554
dendritic tumor vs normal,dendritic,myeloid,C113,-0.018172466106174744,-0.17921830249741044,0.1610458363912357
dendritic tumor vs normal,dendritic,myeloid,C114,-0.013739837405651403,-0.0950628414801147,0.08132300407446329
dendritic tumor vs normal,dendritic,myeloid,C115,0.07824312505871435,-0.049169437279904714,0.12741256233861906
dendritic tumor vs normal,dendritic,myeloid,C116,-0.0353224046370598,-0.024417717941440677,-0.010904686695619125
dendritic tumor vs normal,dendritic,myeloid,C122,-0.02081090306386848,-0.054975352282833984,0.034164449218965505
dendritic tumor vs normal,dendritic,myeloid,C123,0.01072300236805555,-0.03228324363538225,0.043006246003437804
dendritic tumor vs normal,dendritic,myeloid,C124,0.0011490270346783368,0.05675222565676469,-0.055603198622086354
dendritic tumor vs normal,dendritic,myeloid,C125,0.01578248774795184,-0.025394321467431938,0.041176809215383775
dendritic tumor vs normal,dendritic,myeloid,C126,0.011888377049463909,-0.011906532012810044,0.023794909062273953
dendritic tumor vs normal,dendritic,myeloid,C129,0.007863495988975963,-0.10236057371618401,0.11022406970515998
dendritic tumor vs normal,dendritic,myeloid,C130,0.0073184404842175305,0.060157923422108794,-0.052839482937891265
dendritic tumor vs normal,dendritic,myeloid,C132,0.19456185205337115,-0.11322172605317657,0.3077835781065477
dendritic tumor vs normal,dendritic,myeloid,C133,0.08349734313756549,0.13497930565139066,-0.05148196251382517
dendritic tumor vs normal,dendritic,myeloid,C134,-0.023528118676326516,0.012200060227733454,-0.03572817890405997
dendritic tumor vs normal,dendritic,myeloid,C135,0.009503554070535528,0.1361870147015763,-0.12668346063104077
dendritic tumor vs normal,dendritic,myeloid,C136,0.019226526375360996,-0.009952968897823994,0.029179495273184988
dendritic tumor vs normal,dendritic,myeloid,C137,-0.005543461191641043,-0.04510253875895763,0.03955907756731659
dendritic tumor vs normal,dendritic,myeloid,C138,0.05076795258067771,-0.039217052221241326,0.08998500480191904
dendritic tumor vs normal,dendritic,myeloid,C139,-0.03961947201970732,-0.07325555110389194,0.03363607908418462
dendritic tumor vs normal,dendritic,myeloid,C140,0.021083252910401643,-0.18564114419364872,0.20672439710405036
dendritic tumor vs normal,dendritic,myeloid,C142,-0.041371697489457376,-0.18117250932253826,0.13980081183308088
dendritic tumor vs normal,dendritic,myeloid,C143,0.006082741689160994,-0.1442260164399558,0.1503087581291168
dendritic tumor vs normal,dendritic,myeloid,C151,-0.09076958729306905,-0.06406610732782206,-0.026703479965246996
dendritic tumor vs normal,dendritic,myeloid,C152,0.045925027520020284,0.5781851709236036,-0.5322601434035833
dendritic tumor vs normal,dendritic,myeloid,C155,0.07125484946276606,0.03925141185878382,0.032003437603982235
dendritic tumor vs normal,dendritic,myeloid,C157,0.12416639411183712,0.07880298841027915,0.045363405701557974
dendritic tumor vs normal,dendritic,myeloid,C162,0.04896426770290397,-0.010077701826101038,0.059041969529005006
dendritic tumor vs normal,dendritic,myeloid,C165,0.05753818914109315,-0.051210195365984236,0.10874838450707738
dendritic tumor vs normal,dendritic,myeloid,C170,0.05079949648630892,-0.034785661873177894,0.08558515835948682
granulocyte tumor vs normal,granulocyte,myeloid,C109,-0.07387772286476077,-0.22922748646224922,0.15534976359748845
granulocyte tumor vs normal,granulocyte,myeloid,C111,-0.04487858242716759,-0.09889118148102778,0.05401259905386019
granulocyte tumor vs normal,granulocyte,myeloid,C116,-0.0972658031883027,-0.10125834428868684,0.003992541100384134
