input_set,input_symbol,ensembl_id
primary_genecards881,LUCAT1,ENSG00000248323
primary_genecards881,LUNAR1,ENSG00000278090
primary_genecards881,MACC1,ENSG00000183742
primary_genecards881,MALAT1,ENSG00000251562
primary_genecards881,MAP1LC3A,ENSG00000101460
primary_genecards881,MAP2K1,ENSG00000169032
primary_genecards881,MAP2K2,ENSG00000126934
primary_genecards881,MAP2K4,ENSG00000065559
primary_genecards881,MAP2K6,ENSG00000108984
primary_genecards881,MAP3K20-AS1,ENSG00000238133
primary_genecards881,MAP7,ENSG00000135525
primary_genecards881,MAPK1,ENSG00000100030
primary_genecards881,MAPK14,ENSG00000112062
primary_genecards881,MAPK3,ENSG00000102882
primary_genecards881,MAPKAPK5-AS1,ENSG00000234608
primary_genecards881,MBD4,ENSG00000129071
primary_genecards881,MBNL1-AS1,ENSG00000229619
primary_genecards881,MCC,ENSG00000171444
primary_genecards881,MCF2L-AS1,ENSG00000235280
primary_genecards881,MCL1,ENSG00000143384
primary_genecards881,MCM3AP-AS1,ENSG00000215424
primary_genecards881,MDM2,ENSG00000135679
primary_genecards881,MEF2C-AS1,ENSG00000248309
primary_genecards881,MEG3,ENSG00000214548
primary_genecards881,MELK,ENSG00000165304
primary_genecards881,MELTF-AS1,ENSG00000228109
primary_genecards881,MEN1,ENSG00000133895
primary_genecards881,MET,ENSG00000105976
primary_genecards881,METTL3,ENSG00000165819
primary_genecards881,MGMT,ENSG00000170430
primary_genecards881,MHENCR,ENSG00000232442
primary_genecards881,MIAT,ENSG00000225783
primary_genecards881,MIER3,ENSG00000155545
primary_genecards881,MILIP,ENSG00000265688
primary_genecards881,MINCR,ENSG00000253716
primary_genecards881,MIR100HG,ENSG00000255248
primary_genecards881,MIR106A,ENSG00000284157
primary_genecards881,MIR106B,ENSG00000208036
primary_genecards881,MIR107,ENSG00000198997
primary_genecards881,MIR10A,ENSG00000284038
primary_genecards881,MIR10B,ENSG00000207744
primary_genecards881,MIR124-1HG,ENSG00000253230
primary_genecards881,MIR125A,ENSG00000208008
primary_genecards881,MIR126,ENSG00000199161
primary_genecards881,MIR127,ENSG00000207608
primary_genecards881,MIR128-2,ENSG00000207625
