GeneCards_Rank,GeneSymbol,GeneName,GeneType,RelevanceScore,KnowledgeScore,gene_symbol
1550,NAMPT,Nicotinamide Phosphoribosyltransferase,Protein Coding,4.3,88,NAMPT
1551,NSD1,Nuclear Receptor Binding SET Domain Protein 1,Protein Coding,4.3,94,NSD1
1552,SIPA1L1,Signal Induced Proliferation Associated 1 Like 1,Protein Coding,4.3,76,SIPA1L1
1553,MGAT4A,"Alpha-1,3-Mannosyl-Glycoprotein 4-Beta-N-Acetylglucosaminyltransferase A",Protein Coding,4.3,74,MGAT4A
1554,LOC129936471,ATAC-STARR-Seq Lymphoblastoid Active Region 19671,Functional Element,4.3,49,LOC129936471
1555,GRPR,Gastrin Releasing Peptide Receptor,Protein Coding,4.3,76,GRPR
1556,IL2RB,Interleukin 2 Receptor Subunit Beta,Protein Coding,4.3,100,IL2RB
1557,PGR,Progesterone Receptor,Protein Coding,4.3,95,PGR
1558,STK33,Serine/Threonine Kinase 33,Protein Coding,4.3,73,STK33
1559,TRC-GCA24-1,TRNA-Cys (GCA) 24-1,RNA Gene,4.3,47,TRC-GCA24-1
1560,LCN2,Lipocalin 2,Protein Coding,4.3,82,LCN2
1561,CCR2,C-C Motif Chemokine Receptor 2,Protein Coding,4.3,90,CCR2
1562,SLC22A3,Solute Carrier Family 22 Member 3,Protein Coding,4.3,80,SLC22A3
1563,NQO2,N-Ribosyldihydronicotinamide:Quinone Dehydrogenase 2,Protein Coding,4.3,76,NQO2
1564,EML4,EMAP Like 4,Protein Coding,4.3,84,EML4
1565,TBX3,T-Box Transcription Factor 3,Protein Coding,4.2,90,TBX3
1566,MAP4K4,Mitogen-Activated Protein Kinase Kinase Kinase Kinase 4,Protein Coding,4.2,100,MAP4K4
1567,S100A8,S100 Calcium Binding Protein A8,Protein Coding,4.2,85,S100A8
1568,MIR429,MicroRNA 429,RNA Gene,4.2,57,MIR429
1569,GLI3,GLI Family Zinc Finger 3,Protein Coding,4.2,99,GLI3
1570,WNT5B,Wnt Family Member 5B,Protein Coding,4.2,75,WNT5B
1571,AR,Androgen Receptor,Protein Coding,4.2,100,AR
1572,MIR625,MicroRNA 625,RNA Gene,4.2,57,MIR625
1573,TFPI2,Tissue Factor Pathway Inhibitor 2,Protein Coding,4.2,72,TFPI2
1574,CTPS1,CTP Synthase 1,Protein Coding,4.2,99,CTPS1
1575,RALBP1,RalA Binding Protein 1,Protein Coding,4.2,85,RALBP1
1576,APOA1,Apolipoprotein A1,Protein Coding,4.2,100,APOA1
1577,PPP2R1A,Protein Phosphatase 2 Scaffold Subunit Aalpha,Protein Coding,4.2,97,PPP2R1A
1578,RBX1,Ring-Box 1,Protein Coding,4.2,85,RBX1
1579,RPA1,Replication Protein A1,Protein Coding,4.2,91,RPA1
1580,IL1A,Interleukin 1 Alpha,Protein Coding,4.2,87,IL1A
1581,PEBP1,Phosphatidylethanolamine Binding Protein 1,Protein Coding,4.2,78,PEBP1
1582,DUSP4,Dual Specificity Phosphatase 4,Protein Coding,4.2,80,DUSP4
1583,EIF2B2,Eukaryotic Translation Initiation Factor 2B Subunit Beta,Protein Coding,4.2,90,EIF2B2
1584,PELI1,Pellino E3 Ubiquitin Protein Ligase 1,Protein Coding,4.2,75,PELI1
1585,SLCO1B3,Solute Carrier Organic Anion Transporter Family Member 1B3,Protein Coding,4.2,97,SLCO1B3
1586,SLX4,SLX4 Structure-Specific Endonuclease Subunit,Protein Coding,4.1,89,SLX4
1587,TSPAN8,Tetraspanin 8,Protein Coding,4.1,63,TSPAN8
1588,SI,Sucrase-Isomaltase,Protein Coding,4.1,86,SI
1589,CEACAM4,CEA Cell Adhesion Molecule 4,Protein Coding,4.1,62,CEACAM4
1590,PSG2,Pregnancy Specific Beta-1-Glycoprotein 2,Protein Coding,4.1,60,PSG2
1591,SPATA13,Spermatogenesis Associated 13,Protein Coding,4.1,77,SPATA13
1592,GJB2,Gap Junction Protein Beta 2,Protein Coding,4.1,89,GJB2
1593,HIPK2,Homeodomain Interacting Protein Kinase 2,Protein Coding,4.1,90,HIPK2
1594,CES2,Carboxylesterase 2,Protein Coding,4.1,77,CES2
1595,ARAF,"A-Raf Proto-Oncogene, Serine/Threonine Kinase",Protein Coding,4.1,90,ARAF
1596,STIM1,Stromal Interaction Molecule 1,Protein Coding,4.1,100,STIM1
1597,SOX17,SRY-Box Transcription Factor 17,Protein Coding,4.1,88,SOX17
1598,GPC3,Glypican 3,Protein Coding,4.1,97,GPC3
1599,PBRM1,Polybromo 1,Protein Coding,4.1,95,PBRM1
1600,RNASE1,"Ribonuclease A Family Member 1, Pancreatic",Protein Coding,4.1,70,RNASE1
1601,CBL,Cbl Proto-Oncogene,Protein Coding,4.1,100,CBL
1602,PAX5,Paired Box 5,Protein Coding,4.1,96,PAX5
1603,RUNX2,RUNX Family Transcription Factor 2,Protein Coding,4.1,100,RUNX2
1604,TRIB3,Tribbles Pseudokinase 3,Protein Coding,4.1,82,TRIB3
1605,EIF3H,Eukaryotic Translation Initiation Factor 3 Subunit H,Protein Coding,4.1,80,EIF3H
1606,LINC01567,Long Intergenic Non-Protein Coding RNA 1567,RNA Gene,4.1,46,LINC01567
1607,FAM98A,Family With Sequence Similarity 98 Member A,Protein Coding,4.1,58,FAM98A
1608,FOXE1,Forkhead Box E1,Protein Coding,4.1,75,FOXE1
1609,HSPH1,Heat Shock Protein Family H (Hsp110) Member 1,Protein Coding,4.1,77,HSPH1
1610,METTL14,"Methyltransferase 14, N6-Adenosine-Methyltransferase Non-Catalytic Subunit",Protein Coding,4.1,71,METTL14
1611,CSPG4,Chondroitin Sulfate Proteoglycan 4,Protein Coding,4.0,85,CSPG4
1612,RAD52,RAD52 DNA Repair Protein,Protein Coding,4.0,82,RAD52
1613,FANCF,FA Complementation Group F,Protein Coding,4.0,79,FANCF
1614,IL36A,Interleukin 36 Alpha,Protein Coding,4.0,64,IL36A
1615,MKNK1,MAPK Interacting Serine/Threonine Kinase 1,Protein Coding,4.0,89,MKNK1
1616,HLA-DRA,"Major Histocompatibility Complex, Class II, DR Alpha",Protein Coding,4.0,90,HLA-DRA
1617,LEPR,Leptin Receptor,Protein Coding,4.0,99,LEPR
1618,CD70,CD70 Molecule,Protein Coding,4.0,83,CD70
1619,LOC126807437,MED14-Independent Group 3 Enhancer GRCh37_chr5:79968379-79969578,Functional Element,4.0,58,LOC126807437
1620,EDN1,Endothelin 1,Protein Coding,4.0,90,EDN1
1621,CYP2A6,Cytochrome P450 Family 2 Subfamily A Member 6,Protein Coding,4.0,87,CYP2A6
1622,DIS3,DIS3 Exosome Endoribonuclease And 3'-5' Exoribonuclease,Protein Coding,4.0,75,DIS3
1623,PGCKA1,PDCD10 And GCKIII Kinases Associated 1,Protein Coding,4.0,43,PGCKA1
1624,SIRT2,Sirtuin 2,Protein Coding,4.0,88,SIRT2
1625,PLCE1,Phospholipase C Epsilon 1,Protein Coding,4.0,100,PLCE1
1626,WNT7B,Wnt Family Member 7B,Protein Coding,4.0,80,WNT7B
1627,RPS17,Ribosomal Protein S17,Protein Coding,4.0,86,RPS17
1628,CSF1R,Colony Stimulating Factor 1 Receptor,Protein Coding,4.0,100,CSF1R
1629,METTL16,"Methyltransferase 16, RNA N6-Adenosine",Protein Coding,4.0,65,METTL16
1630,NES,Nestin,Protein Coding,4.0,71,NES
1631,WSPAR,Wnt Signaling Pathway Activating Non-Coding RNA,RNA Gene,4.0,51,WSPAR
1632,DUSP10,Dual Specificity Phosphatase 10,Protein Coding,4.0,81,DUSP10
1633,RINT1,RAD50 Interactor 1,Protein Coding,4.0,80,RINT1
1634,TSPAN31,Tetraspanin 31,Protein Coding,4.0,70,TSPAN31
1635,PRDX1,Peroxiredoxin 1,Protein Coding,4.0,92,PRDX1
1636,MIR663B,MicroRNA 663b,RNA Gene,4.0,52,MIR663B
1637,HMMR,Hyaluronan Mediated Motility Receptor,Protein Coding,4.0,75,HMMR
1638,GFAP,Glial Fibrillary Acidic Protein,Protein Coding,4.0,100,GFAP
1639,HAGLROS,HAGLR Opposite Strand LncRNA,RNA Gene,4.0,53,HAGLROS
1640,SIRT3,Sirtuin 3,Protein Coding,4.0,91,SIRT3
1641,SEC23B,"SEC23 Homolog B, COPII Component",Protein Coding,4.0,84,SEC23B
1642,NDRG2,NDRG Family Member 2,Protein Coding,4.0,71,NDRG2
1643,DRD2,Dopamine Receptor D2,Protein Coding,3.9,100,DRD2
1644,TLR5,Toll Like Receptor 5,Protein Coding,3.9,89,TLR5
1645,WWTR1,WW Domain Containing Transcription Regulator 1,Protein Coding,3.9,82,WWTR1
1646,MED12,Mediator Complex Subunit 12,Protein Coding,3.9,94,MED12
1647,ILF3,Interleukin Enhancer Binding Factor 3,Protein Coding,3.9,83,ILF3
1648,ACTR3,Actin Related Protein 3,Protein Coding,3.9,83,ACTR3
1649,IGFBP1,Insulin Like Growth Factor Binding Protein 1,Protein Coding,3.9,80,IGFBP1
1650,LOC130008148,ATAC-STARR-Seq Lymphoblastoid Silent Region 4588,Functional Element,3.9,57,LOC130008148
1651,PDGFB,Platelet Derived Growth Factor Subunit B,Protein Coding,3.9,100,PDGFB
1652,TMEM43,Transmembrane Protein 43,Protein Coding,3.9,85,TMEM43
1653,RBM47,RNA Binding Motif Protein 47,Protein Coding,3.9,73,RBM47
1654,ZNF304,Zinc Finger Protein 304,Protein Coding,3.9,65,ZNF304
1655,POT1,Protection Of Telomeres 1,Protein Coding,3.9,97,POT1
1656,MIR30B,MicroRNA 30b,RNA Gene,3.9,68,MIR30B
1657,MTAP,Methylthioadenosine Phosphorylase,Protein Coding,3.9,95,MTAP
1658,EYA4,EYA Transcriptional Coactivator And Phosphatase 4,Protein Coding,3.9,89,EYA4
1659,DINOL,Damage Induced Long Noncoding RNA,RNA Gene,3.9,53,DINOL
1660,PKD1,"Polycystin 1, Transient Receptor Potential Channel Interacting",Protein Coding,3.9,98,PKD1
1661,MIR33B,MicroRNA 33b,RNA Gene,3.9,66,MIR33B
1662,LOC129390903,MPRA-Validated Peak2919 Silencer,Functional Element,3.9,59,LOC129390903
1663,LIN28B,Lin-28 RNA Binding Posttranscriptional Regulator B,Protein Coding,3.9,76,LIN28B
1664,ADH1B,"Alcohol Dehydrogenase 1B (Class I), Beta Polypeptide",Protein Coding,3.9,84,ADH1B
1665,MIR23B,MicroRNA 23b,RNA Gene,3.9,60,MIR23B
1666,MIR326,MicroRNA 326,RNA Gene,3.9,59,MIR326
1667,PWAR4,Prader Willi/Angelman Region RNA 4,RNA Gene,3.9,53,PWAR4
1668,MPO,Myeloperoxidase,Protein Coding,3.9,93,MPO
1669,MANBAL,Mannosidase Beta Like,Protein Coding,3.9,44,MANBAL
1670,NFIX,Nuclear Factor I X,Protein Coding,3.8,91,NFIX
1671,TYMSOS,TYMS Opposite Strand RNA,RNA Gene,3.8,57,TYMSOS
1672,YY1AP1,YY1 Associated Protein 1,Protein Coding,3.8,78,YY1AP1
1673,MECP2,Methyl-CpG Binding Protein 2,Protein Coding,3.8,100,MECP2
1674,BMAL1,Basic Helix-Loop-Helix ARNT Like 1,Protein Coding,3.8,89,BMAL1
1675,RAC2,Rac Family Small GTPase 2,Protein Coding,3.8,100,RAC2
1676,LATS1,Large Tumor Suppressor Kinase 1,Protein Coding,3.8,87,LATS1
1677,NCOA3,Nuclear Receptor Coactivator 3,Protein Coding,3.8,94,NCOA3
1678,FAT1,FAT Atypical Cadherin 1,Protein Coding,3.8,88,FAT1
1679,MAP2K5,Mitogen-Activated Protein Kinase Kinase 5,Protein Coding,3.8,92,MAP2K5
1680,GNAQ,G Protein Subunit Alpha Q,Protein Coding,3.8,93,GNAQ
1681,CPT2,Carnitine Palmitoyltransferase 2,Protein Coding,3.8,97,CPT2
1682,HILPDA,Hypoxia Inducible Lipid Droplet Associated,Protein Coding,3.8,58,HILPDA
1683,FANCL,FA Complementation Group L,Protein Coding,3.8,96,FANCL
1684,LOC126862278,CDK7 Strongly-Dependent Group 2 Enhancer GRCh37_chr16:7629446-7630645,Functional Element,3.8,51,LOC126862278
1685,ZMYND11,Zinc Finger MYND-Type Containing 11,Protein Coding,3.8,88,ZMYND11
1686,GATA5,GATA Binding Protein 5,Protein Coding,3.8,80,GATA5
1687,FLT3,Fms Related Receptor Tyrosine Kinase 3,Protein Coding,3.8,100,FLT3
1688,TGM2,Transglutaminase 2,Protein Coding,3.8,89,TGM2
1689,SRSF3,Serine And Arginine Rich Splicing Factor 3,Protein Coding,3.8,80,SRSF3
1690,RETN,Resistin,Protein Coding,3.8,69,RETN
1691,UHRF1,Ubiquitin Like With PHD And Ring Finger Domains 1,Protein Coding,3.8,85,UHRF1
1692,ZNF281,Zinc Finger Protein 281,Protein Coding,3.8,70,ZNF281
1693,TRAF2,TNF Receptor Associated Factor 2,Protein Coding,3.8,90,TRAF2
1694,GATA3,GATA Binding Protein 3,Protein Coding,3.8,100,GATA3
1695,UNC5C,Unc-5 Netrin Receptor C,Protein Coding,3.8,78,UNC5C
1696,USP47,Ubiquitin Specific Peptidase 47,Protein Coding,3.8,70,USP47
1697,NGFR,Nerve Growth Factor Receptor,Protein Coding,3.7,88,NGFR
1698,FER,FER Tyrosine Kinase,Protein Coding,3.7,88,FER
1699,DSP,Desmoplakin,Protein Coding,3.7,100,DSP
1700,NOS1,Nitric Oxide Synthase 1,Protein Coding,3.7,99,NOS1
1701,PIN1,"Peptidylprolyl Cis/Trans Isomerase, NIMA-Interacting 1",Protein Coding,3.7,88,PIN1
1702,MLKL,Mixed Lineage Kinase Domain Like Pseudokinase,Protein Coding,3.7,83,MLKL
1703,LOC130001603,ATAC-STARR-Seq Lymphoblastoid Silent Region 19811,Functional Element,3.7,53,LOC130001603
1704,MIR324,MicroRNA 324,RNA Gene,3.7,61,MIR324
1705,PGPEP1,Pyroglutamyl-Peptidase I,Protein Coding,3.7,58,PGPEP1
1706,A1CF,APOBEC1 Complementation Factor,Protein Coding,3.7,76,A1CF
1707,TOP2B,DNA Topoisomerase II Beta,Protein Coding,3.7,99,TOP2B
1708,PLA2G4A,Phospholipase A2 Group IVA,Protein Coding,3.7,99,PLA2G4A
1709,SLC16A4,Solute Carrier Family 16 Member 4,Protein Coding,3.7,64,SLC16A4
1710,KDM3B,Lysine Demethylase 3B,Protein Coding,3.7,87,KDM3B
1711,SMC2,Structural Maintenance Of Chromosomes 2,Protein Coding,3.7,84,SMC2
1712,CCNK,Cyclin K,Protein Coding,3.7,90,CCNK
1713,CYP2W1,Cytochrome P450 Family 2 Subfamily W Member 1,Protein Coding,3.7,68,CYP2W1
1714,RPS3,Ribosomal Protein S3,Protein Coding,3.7,90,RPS3
1715,MIR519D,MicroRNA 519d,RNA Gene,3.7,61,MIR519D
1716,MIR16-2,MicroRNA 16-2,RNA Gene,3.7,62,MIR16-2
1717,BATF,Basic Leucine Zipper ATF-Like Transcription Factor,Protein Coding,3.7,71,BATF
1718,TAF1B,"TATA-Box Binding Protein Associated Factor, RNA Polymerase I Subunit B",Protein Coding,3.7,74,TAF1B
1719,MIR1246,MicroRNA 1246,RNA Gene,3.7,56,MIR1246
1720,KCNB2,Potassium Voltage-Gated Channel Subfamily B Member 2,Protein Coding,3.7,78,KCNB2
1721,PER2,Period Circadian Regulator 2,Protein Coding,3.7,86,PER2
1722,MIR33A,MicroRNA 33a,RNA Gene,3.7,63,MIR33A
1723,PFKFB3,"6-Phosphofructo-2-Kinase/Fructose-2,6-Biphosphatase 3",Protein Coding,3.7,85,PFKFB3
1724,CCT3,Chaperonin Containing TCP1 Subunit 3,Protein Coding,3.7,85,CCT3
1725,CXCR5,C-X-C Motif Chemokine Receptor 5,Protein Coding,3.7,81,CXCR5
1726,KLK2,Kallikrein Related Peptidase 2,Protein Coding,3.7,83,KLK2
1727,LOXL2,Lysyl Oxidase Like 2,Protein Coding,3.7,82,LOXL2
1728,UNG,Uracil DNA Glycosylase,Protein Coding,3.7,93,UNG
1729,UGT1A3,UDP Glucuronosyltransferase Family 1 Member A3,Protein Coding,3.7,93,UGT1A3
1730,LIMK1,LIM Domain Kinase 1,Protein Coding,3.7,98,LIMK1
1731,TBXT,T-Box Transcription Factor T,Protein Coding,3.7,84,TBXT
1732,AGR2,"Anterior Gradient 2, Protein Disulphide Isomerase Family Member",Protein Coding,3.7,74,AGR2
1733,MIR122,MicroRNA 122,RNA Gene,3.7,59,MIR122
1734,ITGA4,Integrin Subunit Alpha 4,Protein Coding,3.7,100,ITGA4
1735,CEP78,Centrosomal Protein 78,Protein Coding,3.7,87,CEP78
1736,ATF7,Activating Transcription Factor 7,Protein Coding,3.7,73,ATF7
1737,IER2,Immediate Early Response 2,Protein Coding,3.7,54,IER2
1738,ZFP36L2,ZFP36 Like 2 Zinc Finger CCCH-Type,Protein Coding,3.7,73,ZFP36L2
1739,SHBG,Sex Hormone Binding Globulin,Protein Coding,3.7,72,SHBG
1740,JAK3,Janus Kinase 3,Protein Coding,3.7,100,JAK3
1741,MIR507,MicroRNA 507,RNA Gene,3.7,50,MIR507
1742,MTSS1,MTSS I-BAR Domain Containing 1,Protein Coding,3.7,74,MTSS1
1743,ACTC1,Actin Alpha Cardiac Muscle 1,Protein Coding,3.6,99,ACTC1
1744,RICTOR,RPTOR Independent Companion Of MTOR Complex 2,Protein Coding,3.6,91,RICTOR
1745,DXO,Decapping Exoribonuclease,Protein Coding,3.6,65,DXO
1746,MIR196B,MicroRNA 196b,RNA Gene,3.6,57,MIR196B
1747,PGM3,Phosphoglucomutase 3,Protein Coding,3.6,87,PGM3
1748,FFAR4,Free Fatty Acid Receptor 4,Protein Coding,3.6,77,FFAR4
1749,KLC3,Kinesin Light Chain 3,Protein Coding,3.6,78,KLC3
1750,MIR499A,MicroRNA 499a,RNA Gene,3.6,63,MIR499A
1751,SELENOP,Selenoprotein P,Protein Coding,3.6,66,SELENOP
1752,RPL27A,Ribosomal Protein L27a,Protein Coding,3.6,81,RPL27A
1753,RAB5C,"RAB5C, Member RAS Oncogene Family",Protein Coding,3.6,85,RAB5C
1754,POMGNT1,"Protein O-Linked Mannose N-Acetylglucosaminyltransferase 1 (Beta 1,2-)",Protein Coding,3.6,90,POMGNT1
1755,CDCP1,CUB Domain Containing Protein 1,Protein Coding,3.6,62,CDCP1
1756,HDAC7,Histone Deacetylase 7,Protein Coding,3.6,94,HDAC7
1757,ACE,Angiotensin I Converting Enzyme,Protein Coding,3.6,100,ACE
1758,EMSLR,E2F1 MRNA Stabilizing LncRNA,RNA Gene,3.6,53,EMSLR
1759,CHSY1,Chondroitin Sulfate Synthase 1,Protein Coding,3.6,85,CHSY1
1760,ITGA9,Integrin Subunit Alpha 9,Protein Coding,3.6,87,ITGA9
1761,ASTE1,Asteroid Structure-Specific Endonuclease 1,Protein Coding,3.6,56,ASTE1
1762,XPO1,Exportin 1,Protein Coding,3.6,94,XPO1
1763,ANO1,Anoctamin 1,Protein Coding,3.6,82,ANO1
1764,TPT1,"Tumor Protein, Translationally-Controlled 1",Protein Coding,3.6,79,TPT1
1765,HEPACAM,Hepatic And Glial Cell Adhesion Molecule,Protein Coding,3.6,75,HEPACAM
1766,TNKS,Tankyrase,Protein Coding,3.6,89,TNKS
1767,RBM5-AS1,RBM5 Antisense RNA 1,RNA Gene,3.6,54,RBM5-AS1
1768,ATF4,Activating Transcription Factor 4,Protein Coding,3.6,90,ATF4
1769,HSD17B10,Hydroxysteroid 17-Beta Dehydrogenase 10,Protein Coding,3.6,97,HSD17B10
1770,SPRY2,Sprouty RTK Signaling Antagonist 2,Protein Coding,3.6,80,SPRY2
1771,DOT1L,DOT1 Like Histone Lysine Methyltransferase,Protein Coding,3.6,94,DOT1L
1772,IL23R,Interleukin 23 Receptor,Protein Coding,3.6,98,IL23R
1773,GID8,GID Complex Subunit 8 Homolog,Protein Coding,3.6,63,GID8
1774,TXNDC5,Thioredoxin Domain Containing 5,Protein Coding,3.6,76,TXNDC5
1775,GCKR,Glucokinase Regulator,Protein Coding,3.6,87,GCKR
1776,C3,Complement C3,Protein Coding,3.6,100,C3
1777,KLK6,Kallikrein Related Peptidase 6,Protein Coding,3.6,78,KLK6
1778,DMBT1,Deleted In Malignant Brain Tumors 1,Protein Coding,3.6,85,DMBT1
1779,MAP3K14-AS1,MAP3K14 Antisense RNA 1,RNA Gene,3.6,62,MAP3K14-AS1
1780,LOC126860438,MED14-Independent Group 3 Enhancer GRCh37_chr8:90959982-90961181,Functional Element,3.6,58,LOC126860438
1781,DLG5,Discs Large MAGUK Scaffold Protein 5,Protein Coding,3.6,88,DLG5
1782,PRSS58,Serine Protease 58,Protein Coding,3.6,47,PRSS58
1783,ST7-OT3,ST7 Overlapping Transcript 3,RNA Gene,3.6,61,ST7-OT3
1784,KLC1,Kinesin Light Chain 1,Protein Coding,3.6,85,KLC1
1785,DAB2IP,DAB2 Interacting Protein,Protein Coding,3.6,81,DAB2IP
1786,CSNK1A1,Casein Kinase 1 Alpha 1,Protein Coding,3.6,92,CSNK1A1
1787,P2RX7,Purinergic Receptor P2X 7,Protein Coding,3.6,89,P2RX7
1788,DDX5,DEAD-Box Helicase 5,Protein Coding,3.5,91,DDX5
1789,DDX41,DEAD-Box Helicase 41,Protein Coding,3.5,92,DDX41
1790,GPSM2,G Protein Signaling Modulator 2,Protein Coding,3.5,88,GPSM2
1791,ALDOA,"Aldolase, Fructose-Bisphosphate A",Protein Coding,3.5,100,ALDOA
1792,SYCE3,Synaptonemal Complex Central Element Protein 3,Protein Coding,3.5,56,SYCE3
1793,PEG10,Paternally Expressed 10,Protein Coding,3.5,72,PEG10
1794,UPP1,Uridine Phosphorylase 1,Protein Coding,3.5,77,UPP1
1795,XRCC4,X-Ray Repair Cross Complementing 4,Protein Coding,3.5,95,XRCC4
1796,TMEM240,Transmembrane Protein 240,Protein Coding,3.5,57,TMEM240
1797,TRG-CCC2-2,TRNA-Gly (Anticodon CCC) 2-2,RNA Gene,3.5,46,TRG-CCC2-2
1798,MYCN,"MYCN Proto-Oncogene, BHLH Transcription Factor",Protein Coding,3.5,99,MYCN
1799,MIR630,MicroRNA 630,RNA Gene,3.5,51,MIR630
1800,TDG,Thymine DNA Glycosylase,Protein Coding,3.5,79,TDG
1801,LOC107303338,3p25 FANCD2 Alu-Mediated Recombination Region,Functional Element,3.5,60,LOC107303338
1802,APOBEC3G,Apolipoprotein B MRNA Editing Enzyme Catalytic Subunit 3G,Protein Coding,3.5,78,APOBEC3G
1803,CAMP,Cathelicidin Antimicrobial Peptide,Protein Coding,3.5,74,CAMP
1804,UGT1A4,UDP Glucuronosyltransferase Family 1 Member A4,Protein Coding,3.5,94,UGT1A4
1805,BMP8A,Bone Morphogenetic Protein 8a,Protein Coding,3.5,61,BMP8A
1806,HSD17B1,Hydroxysteroid 17-Beta Dehydrogenase 1,Protein Coding,3.5,81,HSD17B1
1807,PDK1,Pyruvate Dehydrogenase Kinase 1,Protein Coding,3.5,90,PDK1
1808,CX3CL1,C-X3-C Motif Chemokine Ligand 1,Protein Coding,3.5,82,CX3CL1
1809,COL4A2,Collagen Type IV Alpha 2 Chain,Protein Coding,3.5,96,COL4A2
1810,PRDX2,Peroxiredoxin 2,Protein Coding,3.5,83,PRDX2
1811,NEO1,Neogenin 1,Protein Coding,3.5,85,NEO1
1812,PTPN6,Protein Tyrosine Phosphatase Non-Receptor Type 6,Protein Coding,3.5,94,PTPN6
1813,TAGLN,Transgelin,Protein Coding,3.5,73,TAGLN
1814,GLP1R,Glucagon Like Peptide 1 Receptor,Protein Coding,3.5,86,GLP1R
1815,UGT1A5,UDP Glucuronosyltransferase Family 1 Member A5,Protein Coding,3.5,83,UGT1A5
1816,FBN1,Fibrillin 1,Protein Coding,3.5,100,FBN1
1817,LPL,Lipoprotein Lipase,Protein Coding,3.5,100,LPL
1818,TPP2,Tripeptidyl Peptidase 2,Protein Coding,3.5,87,TPP2
1819,LYN,"LYN Proto-Oncogene, Src Family Tyrosine Kinase",Protein Coding,3.5,100,LYN
1820,LGR4,Leucine Rich Repeat Containing G Protein-Coupled Receptor 4,Protein Coding,3.5,82,LGR4
1821,TFAM,"Transcription Factor A, Mitochondrial",Protein Coding,3.5,88,TFAM
1822,MIR206,MicroRNA 206,RNA Gene,3.5,67,MIR206
1823,SCD,Stearoyl-CoA Desaturase,Protein Coding,3.5,80,SCD
1824,RGS5,Regulator Of G Protein Signaling 5,Protein Coding,3.5,74,RGS5
1825,MIR552,MicroRNA 552,RNA Gene,3.5,58,MIR552
1826,DPYD-AS1,DPYD Antisense RNA 1,RNA Gene,3.5,61,DPYD-AS1
1827,MAP3K1,Mitogen-Activated Protein Kinase Kinase Kinase 1,Protein Coding,3.5,100,MAP3K1
1828,RNF135,Ring Finger Protein 135,Protein Coding,3.5,87,RNF135
1829,DDX17,DEAD-Box Helicase 17,Protein Coding,3.5,79,DDX17
1830,BCL9L,BCL9 Like,Protein Coding,3.5,71,BCL9L
1831,NABP1,Nucleic Acid Binding Protein 1,Protein Coding,3.5,64,NABP1
1832,BCL6,BCL6 Transcription Repressor,Protein Coding,3.5,91,BCL6
1833,FADS2,Fatty Acid Desaturase 2,Protein Coding,3.5,80,FADS2
1834,RHBDF2,Rhomboid 5 Homolog 2,Protein Coding,3.5,87,RHBDF2
1835,PRKN,Parkin RBR E3 Ubiquitin Protein Ligase,Protein Coding,3.5,100,PRKN
1836,CXCL9,C-X-C Motif Chemokine Ligand 9,Protein Coding,3.5,78,CXCL9
1837,MIR193B,MicroRNA 193b,RNA Gene,3.5,59,MIR193B
1838,CDC73,Cell Division Cycle 73,Protein Coding,3.4,94,CDC73
1839,MIR506,MicroRNA 506,RNA Gene,3.4,58,MIR506
1840,ABCC10,ATP Binding Cassette Subfamily C Member 10,Protein Coding,3.4,79,ABCC10
1841,STRA6,Signaling Receptor And Transporter Of Retinol STRA6,Protein Coding,3.4,85,STRA6
1842,ZFP36L1,ZFP36 Like 1 Zinc Finger CCCH-Type,Protein Coding,3.4,74,ZFP36L1
1843,MIR194-2,MicroRNA 194-2,RNA Gene,3.4,51,MIR194-2
1844,ETS2,"ETS Proto-Oncogene 2, Transcription Factor",Protein Coding,3.4,84,ETS2
1845,CBLL1,Cbl Proto-Oncogene Like 1,Protein Coding,3.4,76,CBLL1
1846,HMGA1,High Mobility Group AT-Hook 1,Protein Coding,3.4,85,HMGA1
1847,TACSTD2,Tumor Associated Calcium Signal Transducer 2,Protein Coding,3.4,78,TACSTD2
1848,MIR486-1,MicroRNA 486-1,RNA Gene,3.4,61,MIR486-1
1849,PARD3B,Par-3 Family Cell Polarity Regulator Beta,Protein Coding,3.4,74,PARD3B
1850,PLCL1,Phospholipase C Like 1 (Inactive),Protein Coding,3.4,68,PLCL1
1851,PPP1R3C,Protein Phosphatase 1 Regulatory Subunit 3C,Protein Coding,3.4,66,PPP1R3C
1852,MAPK10,Mitogen-Activated Protein Kinase 10,Protein Coding,3.4,96,MAPK10
1853,MCM7,Minichromosome Maintenance Complex Component 7,Protein Coding,3.4,91,MCM7
1854,KHSRP,KH-Type Splicing Regulatory Protein,Protein Coding,3.4,81,KHSRP
1855,PSCA,Prostate Stem Cell Antigen,Protein Coding,3.4,69,PSCA
1856,WNT11,Wnt Family Member 11,Protein Coding,3.4,78,WNT11
1857,SDC4,Syndecan 4,Protein Coding,3.4,83,SDC4
1858,CRABP1,Cellular Retinoic Acid Binding Protein 1,Protein Coding,3.4,71,CRABP1
1859,DDX21,DExD-Box Helicase 21,Protein Coding,3.4,83,DDX21
1860,COL4A1,Collagen Type IV Alpha 1 Chain,Protein Coding,3.4,97,COL4A1
1861,RPS27A,Ribosomal Protein S27a,Protein Coding,3.4,89,RPS27A
1862,CD40LG,CD40 Ligand,Protein Coding,3.4,98,CD40LG
