gene_symbol,protein_name,max_evidence_grade,evidence_grades_seen,evidence_partition,independent_source_count,independent_source_families,evidence_item_count,has_prediction_evidence,independent_support_ge_2,supporting_ids,audit_note
FABP5,fatty acid binding protein 5,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:31546122; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010,"See master evidence_note for species, co-treatment and assay caveats."
FASN,fatty acid synthase,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:29933238; PMID:33391822; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010,"See master evidence_note for species, co-treatment and assay caveats."
GATA2,GATA binding protein 2,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:37927243 | PMID:37927243; DOI:10.1002/tox.24010,"See master evidence_note for species, co-treatment and assay caveats."
NFE2L2,NFE2 like bZIP transcription factor 2,A,"A,B",experimental_or_curated,2,ChEMBL/PubChem BioAssay; Literature,2,no,yes,CHEMBL1905899; CHEMBL3215289; CHEMBL1201862; PubChem AID:720636; activity:14297037 | PMID:40238463; DOI:10.1080/00498254.2025.2493619,"See master evidence_note for species, co-treatment and assay caveats."
NR3C1,nuclear receptor subfamily 3 group C member 1,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:31230093; PMID:32998617; PMID:33677245 | PMID:32998617; DOI:10.1080/10934529.2020.1826775,"See master evidence_note for species, co-treatment and assay caveats."
RELA,"RELA proto-oncogene, NF-kB subunit",A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:27863430; PMID:28240277; PMID:31154059 | PMID:27863430; DOI:10.18632/oncotarget.13403,"See master evidence_note for species, co-treatment and assay caveats."
SIRT1,sirtuin 1,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:31423773 | PMID:31423773; DOI:10.1021/acs.chemrestox.9b00206,"See master evidence_note for species, co-treatment and assay caveats."
SIRT2,sirtuin 2,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:31423773 | PMID:31423773; DOI:10.1021/acs.chemrestox.9b00206,"See master evidence_note for species, co-treatment and assay caveats."
SIRT3,sirtuin 3,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:31423773 | PMID:31423773; DOI:10.1021/acs.chemrestox.9b00206,"See master evidence_note for species, co-treatment and assay caveats."
SIRT5,sirtuin 5,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:31423773 | PMID:31423773; DOI:10.1021/acs.chemrestox.9b00206,"See master evidence_note for species, co-treatment and assay caveats."
STAT3,signal transducer and activator of transcription 3,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:27863430; PMID:31154059 | PMID:27863430; DOI:10.18632/oncotarget.13403,"See master evidence_note for species, co-treatment and assay caveats."
STAT6,signal transducer and activator of transcription 6,A,"A,B",experimental_or_curated,2,CTD; Literature,2,no,yes,CTD:C012125; PMID:27863430 | PMID:27863430; DOI:10.18632/oncotarget.13403,"See master evidence_note for species, co-treatment and assay caveats."
