pathway,NES,raw_p,n_genes,direction,method,dataset_id,tissue,contrast_id,source,FDR
REACTOME_LOSS_OF_FUNCTION_OF_MECP2_IN_RETT_SYNDROME,-1.1158623400574232,0.2644810642303008,12,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4429224695357386
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,1.114140192868567,0.26521904806648133,28,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.44365016964896536
REACTOME_ERYTHROPOIETIN_ACTIVATES_PHOSPHOINOSITIDE_3_KINASE_PI3K,-1.110403026462591,0.26682539464945665,11,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4458271165457207
REACTOME_APOPTOTIC_CLEAVAGE_OF_CELL_ADHESION_PROTEINS,-1.1074582089726592,0.26809587113456623,8,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4474385429209313
REACTOME_NOREPINEPHRINE_NEUROTRANSMITTER_RELEASE_CYCLE,-1.1033026667288157,0.2698957489360384,16,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4496530695844831
REACTOME_DNA_DAMAGE_BYPASS,1.1029753040300672,0.27003788994198097,46,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4496530695844831
REACTOME_INTRA_GOLGI_TRAFFIC,1.1020193921257915,0.2704532410528284,42,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4498323531504381
REACTOME_TRANSCRIPTIONAL_REGULATION_OF_TESTIS_DIFFERENTIATION,1.1009297526231785,0.27092723176649514,11,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.45010865095751806
REACTOME_MITOCHONDRIAL_TRNA_AMINOACYLATION,1.0997735617726712,0.271430794301749,18,up,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4504333953111885
REACTOME_PECAM1_INTERACTIONS,-1.0974338026046975,0.2724518036281349,12,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.4516151212067271
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_DEATH_GENES,-1.092415222429468,0.2746506351043174,14,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.45474431316252784
REACTOME_GLYCOSPHINGOLIPID_BIOSYNTHESIS,-1.0875278391118397,0.2768036021605934,16,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.45747046750048864
REACTOME_HEPARAN_SULFATE_HEPARIN_HS_GAG_METABOLISM,-1.0872576540318208,0.2769229574130865,35,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.45747046750048864
REACTOME_PHOSPHOLIPASE_C_MEDIATED_CASCADE_FGFR1,-1.0811006507076886,0.2796523440070109,8,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.46113919855818397
REACTOME_ACTIVATION_OF_THE_PHOTOTRANSDUCTION_CASCADE,-1.0808258156314803,0.27977460268201726,6,down,preranked_rank_sum,GSE158473,ovary,GSE158473_3months_DiNP_100ugkgd,Reactome,0.46113919855818397
