gene_a,gene_b,pearson_r,abs_r,p_value,BH_FDR
F3,STAT3,0.4401395550698514,0.4401395550698514,1.950866821518051e-19,1.882012698405649e-18
RELA,SIRT1,0.4398401183638369,0.4398401183638369,2.0765201646388892e-19,1.979937831399871e-18
RELA,TIMP2,0.4368635229423563,0.4368635229423563,3.8490898608043253e-19,3.627877799838559e-18
PPARA,STAT3,0.4358803418831133,0.4358803418831133,4.713119565017857e-19,4.391770503766639e-18
PTGS2,STAT3,0.43431372064663676,0.43431372064663676,6.499206733562077e-19,5.988033170248206e-18
ATG5,SIRT1,0.43364493528528303,0.43364493528528303,7.450997591874034e-19,6.788686694818564e-18
MMP2,PTGER2,0.4322189157371448,0.4322189157371448,9.961711515504636e-19,8.976487299685497e-18
NR3C1,PTGER2,0.42743187487642126,0.42743187487642126,2.6144016381790495e-18,2.330227547072631e-17
F3,PPARD,0.42627189052034503,0.42627189052034503,3.295446094339366e-18,2.9056621476970754e-17
PTGER2,TIMP2,0.4258463387732568,0.4258463387732568,3.5867568907154744e-18,3.128873032326265e-17
MMP2,PTGS2,0.4255407412205917,0.4255407412205917,3.811429483358095e-18,3.289865448793303e-17
CXCR4,PGR,0.42520329452280686,0.42520329452280686,4.07561012432985e-18,3.4812503145317474e-17
SELE,STAT3,0.42493343395990885,0.42493343395990885,4.2997636988814624e-18,3.634851786683298e-17
F3,PTGER4,0.4241607885611721,0.4241607885611721,5.01074872794217e-18,4.1926673029720196e-17
MMP9,STAT3,0.42385833223940017,0.42385833223940017,5.319508483501933e-18,4.40605753178948e-17
CXCR4,F3,0.41624111929400825,0.41624111929400825,2.351425562486944e-17,1.9281689612392941e-16
IL1A,PTGS2,0.4152712395406532,0.4152712395406532,2.8336409288563513e-17,2.3005797640219883e-16
ESR1,PTGS2,0.4146496812350528,0.4146496812350528,3.1924593328538965e-17,2.56648691464725e-16
DUSP1,MMP9,0.41109323323038943,0.41109323323038943,6.285545066328196e-17,5.004026169309826e-16
PPARD,TIMP2,0.41002605237216333,0.41002605237216333,7.690370235325364e-17,6.063561147083461e-16
DUSP1,PTGER2,0.40360514175233614,0.40360514175233614,2.5495499164974266e-16,1.9910770776456093e-15
DUSP1,PGR,0.4027053194905435,0.4027053194905435,3.0096404022531246e-16,2.3282123866486435e-15
ATG5,STAT3,0.4000220303445532,0.4000220303445532,4.921298692181134e-16,3.771462549148158e-15
CXCR4,SELE,0.39671438420089195,0.39671438420089195,8.967878852754354e-16,6.808945054869046e-15
ATG5,BECN1,0.39578903358074635,0.39578903358074635,1.059443971077227e-15,7.970128956727763e-15
PTGER4,PTGS1,0.3956837435279956,0.3956837435279956,1.0796929307877925e-15,8.048620029508999e-15
PPARA,PTGER4,0.3951169018907622,0.3951169018907622,1.1954060827876624e-15,8.830927818791742e-15
PTGES2,SQSTM1,0.38835750675078945,0.38835750675078945,3.965205468058055e-15,2.9030968605425046e-14
PTGER2,PTGS2,0.3816919429735436,0.3816919429735436,1.259448197872357e-14,9.139358604029494e-14
ATG5,RELA,0.37780957007990845,0.37780957007990845,2.4394273251524827e-14,1.7546757952851191e-13
NR1I2,PPARA,0.37300691526656216,0.37300691526656216,5.4599563315193854e-14,3.89318625377904e-13
MMP2,RELA,0.37070683743899857,0.37070683743899857,7.993200819465877e-14,5.650366096518983e-13
HSPA1A,TIMP2,0.37005141003963743,0.37005141003963743,8.905324634275632e-14,6.241338632569246e-13
DUSP1,TIMP1,0.369981822167662,0.369981822167662,9.007951539799613e-14,6.259762934437019e-13
MIR675,PTGES2,-0.3692913494382057,0.3692913494382057,1.009107304458971e-13,6.953512518120641e-13
PTGS1,RELA,0.36909800923567715,0.36909800923567715,1.0416550943646087e-13,7.117976478158159e-13
PPARD,PTGER2,0.3651446428671273,0.3651446428671273,1.9843064549987803e-13,1.344736605866942e-12
BECN1,NR1I2,0.3648988640230055,0.3648988640230055,2.0648207371515771e-13,1.3878303315281091e-12
PGR,STAT3,0.3638164114794656,0.3638164114794656,2.459136118341164e-13,1.6394240788941093e-12
PPARD,PTGS1,0.36347188833614796,0.36347188833614796,2.599441728894416e-13,1.7189856594301783e-12
