pathway,n_datasets,n_significant_datasets,median_NES,min_FDR,direction,strict_supported
REACTOME_BLOOD_GROUP_SYSTEMS_BIOSYNTHESIS,2,0,-0.0010798748527626,0.5005321615466258,down,False
REACTOME_BMAL1_CLOCK_NPAS2_ACTIVATES_CIRCADIAN_EXPRESSION,2,1,0.7862921376908608,0.0150002108194355,up,False
REACTOME_BRANCHED_CHAIN_AMINO_ACID_CATABOLISM,2,2,0.5980697008317951,0.0065666906112208,up,True
REACTOME_BUDDING_AND_MATURATION_OF_HIV_VIRION,2,1,0.6766946393587067,0.0026649128276114,up,False
REACTOME_BUTYRATE_RESPONSE_FACTOR_1_BRF1_BINDS_AND_DESTABILIZES_MRNA,2,0,0.9068045532930812,0.3277957452812897,up,False
REACTOME_BUTYROPHILIN_BTN_FAMILY_INTERACTIONS,2,0,0.9199742744666244,0.4137726192793479,up,False
REACTOME_B_WICH_COMPLEX_POSITIVELY_REGULATES_RRNA_EXPRESSION,2,0,-0.1187988831565873,0.209514785985972,down,False
REACTOME_CA2_PATHWAY,2,1,-0.2986267049123103,0.0013346880878677,down,False
REACTOME_CALCITONIN_LIKE_LIGAND_RECEPTORS,2,0,-0.2880777823938633,0.4319786200587244,down,False
REACTOME_CALNEXIN_CALRETICULIN_CYCLE,2,0,-0.1101568358626306,0.0927416711632502,down,False
REACTOME_CAMK_IV_MEDIATED_PHOSPHORYLATION_OF_CREB,2,1,-0.7577405315045395,0.0181812374369946,down,False
REACTOME_CARBOXYTERMINAL_POST_TRANSLATIONAL_MODIFICATIONS_OF_TUBULIN,2,0,-1.347620763596078,0.0743842330845062,down,False
REACTOME_CARDIAC_CONDUCTION,2,1,0.2914561203729228,0.0203806489465296,up,False
REACTOME_CARDIOGENESIS,2,0,-0.8628138627389977,0.3749504946640244,down,False
REACTOME_CARGO_CONCENTRATION_IN_THE_ER,2,1,-0.4790892919925428,0.0267773299602283,down,False
REACTOME_CARGO_RECOGNITION_FOR_CLATHRIN_MEDIATED_ENDOCYTOSIS,2,1,0.5848787367256847,0.001386717902438,up,False
REACTOME_CARGO_TRAFFICKING_TO_THE_PERICILIARY_MEMBRANE,2,0,0.2630240134861286,0.267735863173304,up,False
REACTOME_CARNITINE_SHUTTLE,2,0,0.9042569786208564,0.3011398518725678,up,False
REACTOME_CASPASE_ACTIVATION_VIA_DEATH_RECEPTORS_IN_THE_PRESENCE_OF_LIGAND,2,1,0.7229887356504203,0.0449682404533599,up,False
REACTOME_CASPASE_ACTIVATION_VIA_DEPENDENCE_RECEPTORS_IN_THE_ABSENCE_OF_LIGAND,2,0,0.1599224610275194,0.3581412526523364,up,False
REACTOME_CASPASE_ACTIVATION_VIA_EXTRINSIC_APOPTOTIC_SIGNALLING_PATHWAY,2,0,0.7188428523827568,0.1263922181476924,up,False
REACTOME_CASPASE_MEDIATED_CLEAVAGE_OF_CYTOSKELETAL_PROTEINS,2,0,-0.3132356989580119,0.792572278062531,down,False
REACTOME_CA_DEPENDENT_EVENTS,2,1,-0.2374024825579153,0.0242734703738852,down,False
REACTOME_CD209_DC_SIGN_SIGNALING,2,0,-0.1512811490046194,0.1379821040659339,down,False
REACTOME_CD22_MEDIATED_BCR_REGULATION,2,0,0.5921254797604633,0.2289869171877795,up,False
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING,2,0,1.1063176409630833,0.2799526426616165,up,False
REACTOME_CD28_DEPENDENT_VAV1_PATHWAY,2,0,1.1308449458130203,0.0674007673059772,up,False
REACTOME_CDC42_GTPASE_CYCLE,2,2,-0.7066834702889226,0.0017099737906642,down,True
REACTOME_CDK_MEDIATED_PHOSPHORYLATION_AND_REMOVAL_OF_CDC6,2,1,0.1308503977338631,3.8985766664597905e-09,up,False
REACTOME_CELLULAR_HEXOSE_TRANSPORT,2,0,-1.414606208919968,0.1876153292776024,down,False
REACTOME_CELLULAR_RESPONSES_TO_MECHANICAL_STIMULI,2,0,0.073045524420508,0.1393936247590856,up,False
REACTOME_CELLULAR_RESPONSES_TO_STIMULI,2,1,-0.82714979033476,1.0338835100405306e-06,down,False
