platform,DRUG_NAME,drug_key,median_background_rho,global_empirical_q_value,n_backgrounds_available,n_positive_backgrounds,n_positive_nonHCT116_backgrounds,leave_HCT116_out_median_rho,n_models_direction_consistent_ge3of4,signature_robust_flag,strict_database_gate
GDSC1,FY069,FY069,0.1397144107670423,0.0327905538025968,4,3,3,0.1454207243680927,5,True,True
GDSC1,Fedratinib,FEDRATINIB,0.0441240835977677,0.0002492038905651,4,2,2,0.1017069701280227,0,False,False
GDSC1,Flavopiridol,FLAVOPIRIDOL,-0.0903474903474903,0.0002492038905651,4,1,1,-0.0007722007722007,0,False,False
GDSC1,Foretinib,FORETINIB,-0.017279425174162,0.0002492038905651,4,2,2,0.021574205784732,1,False,False
GDSC1,Fulvestrant,FULVESTRANT,0.1245841995841996,0.0375526318223899,4,3,3,0.2103238866396761,5,True,True
GDSC1,GSK-J4,GSKJ4,0.0924244082138819,0.0002492038905651,4,2,2,0.2441186125396651,0,True,False
GDSC1,GSK1059615,GSK1059615,-0.1051263814421709,0.0002492038905651,4,1,1,-0.081518765729292,0,False,False
GDSC1,GSK1070916,GSK1070916,0.023037323037323,0.0002492038905651,4,2,2,0.1523809523809524,0,True,False
GDSC1,GSK1904529A,GSK1904529A,0.010901001112347,0.0002492038905651,4,2,2,0.071412680756396,1,True,False
GDSC1,GSK269962A,GSK269962A,0.0243024400919137,0.0715719784392031,4,2,2,0.1392931392931393,1,True,False
GDSC1,GSK429286A,GSK429286A,0.1341229893861472,0.0002492038905651,4,2,2,0.3193456614509246,4,True,False
GDSC1,GSK650394,GSK650394,0.0181153662799936,0.0002492038905651,4,2,2,0.1467980295566502,0,False,False
GDSC1,GSK690693,GSK690693,-0.0397198818251449,0.0002492038905651,4,2,2,0.0583214793741109,0,False,False
GDSC1,GW-2580,GW2580,-0.0001641317430791,0.0002492038905651,4,2,2,0.0423459897144107,2,True,False
GDSC1,GW441756,GW441756,-0.0116168800379326,0.0002492038905651,4,2,2,0.0436225699383594,0,False,False
GDSC1,Gefitinib,GEFITINIB,-0.110460663092242,0.0002492038905651,4,1,1,-0.1081081081081081,0,False,False
GDSC1,Gemcitabine,GEMCITABINE,0.0361719006455848,0.065726537232236,4,3,3,0.0564777327935222,3,True,False
GDSC1,Genentech Cpd 10,GENENTECHCPD10,0.0787467629572892,0.0002492038905651,4,2,2,0.1797060218112849,2,True,False
GDSC1,HG-5-113-01,HG511301,-0.017095383759733,0.0002492038905651,4,2,1,-0.1318548387096774,1,False,False
GDSC1,HG-5-88-01,HG58801,0.0400097330367074,0.0002492038905651,4,2,1,-0.0776418242491657,0,False,False
GDSC1,HG6-64-1,HG6641,0.1173734705228031,0.0002492038905651,4,3,3,0.2093437152391546,5,True,True
GDSC1,I-BET-151,IBET151,0.0814366998577525,0.050259778552764,4,3,3,0.1406061932377722,6,True,True
GDSC1,I-BET-762,IBET762,0.0441423204581099,0.0002492038905651,4,2,2,0.1448553816974869,0,True,False
GDSC1,I-CBP112,ICBP112,-0.0057997557997558,0.0002492038905651,4,2,2,0.0995115995115995,0,False,False
GDSC1,IAP_5620,IAP5620,-0.1369296421928,0.0348347596667716,4,1,1,-0.1109311740890688,0,False,False
GDSC1,IAP_7638,IAP7638,0.0656344603713024,0.0002492038905651,4,2,2,0.178684757632126,0,True,False
GDSC1,IC-87114,IC87114,0.0433581354633986,0.0002492038905651,4,2,2,0.1386913229018492,3,True,False
GDSC1,ICL1100013,ICL1100013,0.1427216690374585,0.0002492038905651,4,3,3,0.2498814604077761,6,True,True
GDSC1,IGFR_3801,IGFR3801,0.0503857095962359,0.0599761626622044,4,2,2,0.111500164131743,2,True,False
