gene,effect_size,logFC_low_minus_high,P,n_donor_group_pairs,direction,analysis_level,BH_FDR
AURKB,0.3684131505560466,0.5361025593420737,0.010444400581851145,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036624020045348586
COG2,0.26096402913709804,0.14517248866080323,0.010477712834561346,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036624020045348586
EED,0.1667015139134569,0.5113624101426765,0.010477712834561346,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036624020045348586
KIF2A,-0.3176004054735726,-0.6104727188371568,0.010477712834561346,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036624020045348586
KLF10,-0.364840657496905,-0.3046072087319513,0.010477712834561346,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036624020045348586
NR4A2,0.29912179067898315,0.1863130019658962,0.010477712834561346,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036624020045348586
PMS2,0.2776364075590392,0.31651537018235404,0.010477712834561346,39,higher_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036624020045348586
IDH3B,-0.2755767162085485,-0.294408737809445,0.010643250829161843,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036999351926148234
ISCA1,-0.2717043380063222,-0.37733921885769817,0.010643250829161843,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036999351926148234
LARP4B,-0.25795799720124135,-0.4961110174288167,0.010643250829161843,39,lower_in_PPAR_low,paired donor-group pseudobulk; targeted state/regulator gene universe,0.036999351926148234
