dataset,DRUG_NAME,n_overlap,n_OXA_R_like,n_OXA_S_like,spearman_r,spearman_p,pearson_r,pearson_p,median_LN_IC50_R,median_LN_IC50_S,delta_R_minus_S,mannwhitney_p,collateral_sensitivity_direction,spearman_p_BH,pearson_p_BH,mannwhitney_p_BH
GDSC2,ERK_2440,45,23,22,0.5715415019762845,4.117147622557675e-05,0.4550924657908963,0.001683714971592834,2.823961,1.1564435,1.6675175000000002,1.868599291349504e-05,no,0.0003499575479174024,0.0031367840566661016,0.002980903675785583
GDSC2,ERK_6604,45,23,22,0.3945981554677206,0.007310321561961076,0.38362699065013295,0.00928433821423413,3.409963,1.9320469999999998,1.477916,0.0026252696889024056,no,0.013808385172593142,0.012626699971358417,0.01400143834081283
GDSC2,Eg5_9814,44,23,21,0.654122621564482,1.4689316435894044e-06,0.6782977967702601,4.2088968865695546e-07,-1.942606,-3.950774,2.008168,0.0011845520958207133,no,3.073456977356292e-05,8.177285379620849e-06,0.008949949168423168
GDSC2,Elephantin,45,23,22,0.6715415019762845,4.424700363276508e-07,0.6905788873272778,1.5241278187995053e-07,4.237622,3.1162535,1.1213685,0.00041438480924151967,no,1.5404433296845032e-05,4.606252963482949e-06,0.004508506724547734
GDSC2,Entinostat,46,23,23,0.37909343200740053,0.009372669040919747,0.4477140015691,0.0018090735808476764,3.040222,2.091116,0.949106,0.0264943971280104,no,0.01688321840483557,0.0033024698925541475,0.06623750894257723
GDSC2,Entospletinib,46,23,23,0.3698427382053654,0.01141373850853512,0.4098469653662935,0.004674511304915525,4.588044,3.890165,0.6978789999999999,0.011521989794366623,no,0.019332846925817104,0.0072715000534255385,0.03676957599312764
GDSC2,Epirubicin,44,22,22,0.5658914728682171,6.245933270651547e-05,0.48490445504053403,0.0008503544075072843,0.8226705000000001,-1.052125,1.8747955,0.0015936404537578816,no,0.0004356138075941592,0.00188045852717058,0.010836755085553595
GDSC2,Erlotinib,44,22,22,0.3603946441155743,0.016254960916279308,0.39477005092684614,0.008004259548254762,3.137099,2.529269,0.6078299999999999,0.19266669599887198,no,0.02512130323424984,0.01105156648286952,0.23929379594380445
GDSC2,Fludarabine,45,23,22,0.6388669301712779,2.326760668288832e-06,0.6652304872158453,6.194516668065604e-07,6.419472,4.7888905,1.6305815,0.00011878029795366409,no,4.219192678497082e-05,8.471514595641697e-06,0.0035924475767876883
GDSC2,Foretinib,41,20,21,0.2919860627177701,0.06396828471383785,0.28104709588898447,0.07507632494914268,1.4475565,0.633119,0.8144374999999999,0.14058002714895762,no,0.07532196295309046,0.08201108588822012,0.18693908171177825
GDSC2,Fulvestrant,46,23,23,0.43077397471477025,0.0028033284080376075,0.4972341362354352,0.0004389456957265508,4.245212,3.713233,0.5319790000000006,0.015665798004869873,no,0.006688643219177449,0.0010853929930692893,0.043963351255497725
GDSC2,GDC0810,44,22,22,0.4972515856236786,0.0005949749697258125,0.4671296170168905,0.0013897964673513113,5.618456999999999,4.88486,0.7335969999999996,0.04731864593447556,no,0.0021017297631872856,0.002662145345912371,0.09259476038976512
GDSC2,GNE-317,44,22,22,0.3610993657505285,0.01603211607918968,0.44807893361702605,0.0022872503850727374,1.0280434999999999,0.5026425,0.5254009999999999,0.044759294575572275,no,0.02491848899165482,0.004039818861946653,0.08886516879237708
GDSC2,GSK-LSD1,45,23,22,0.41778656126482216,0.004295444460732549,0.5115922690726251,0.00032841166449995227,2.916078,2.6951865,0.22089150000000002,0.23324026293756894,no,0.009127819479056666,0.000858922814846029,0.27825154175008227
GDSC2,GSK-LSD1-2HCl,42,20,22,0.4561218701888016,0.0023984190734127877,0.547665419977182,0.0001741247353232226,3.191265,2.4747965,0.7164685,0.027550577891325773,no,0.0058772070988133175,0.0005571991530343123,0.06725033494939306
GDSC2,GSK1904529A,46,23,23,0.3249460376194881,0.027565411212927642,0.49199736815629963,0.0005151129933052936,4.904731,4.642013,0.26271799999999956,0.11880435762873483,no,0.037236662819522516,0.0012258389959236512,0.16487135344395853
GDSC2,GSK2110183B,45,23,22,0.40382081686429505,0.005942893141536705,0.4696223224510068,0.0011353892083379921,4.476601,2.795169,1.6814319999999996,0.12536452298301234,no,0.011713528510854955,0.0022707784166759843,0.16964751368845452
