gene,background,observed_background_vulnerability_rho,empirical_p_value,n_permutations,n_trajectories_combined
ABL2,HCT116,-0.0069264069264069,0.949050949050949,1000,3
ABLIM1,HCT116,0.1164502164502164,0.22777222777222778,1000,3
ABLIM2,HCT116,0.0668109668109668,0.4695304695304695,1000,3
ABLIM3,HCT116,-0.0311688311688311,0.7172827172827173,1000,3
ABR,HCT116,0.0128427128427128,0.8871128871128872,1000,3
ABRA,HCT116,-0.0523088023088023,0.5784215784215784,1000,3
ABRACL,HCT116,0.1563492063492063,0.09090909090909091,1000,3
ABRAXAS1,HCT116,0.0496392496392496,0.5984015984015985,1000,3
ABRAXAS2,HCT116,0.1233766233766233,0.1848151848151848,1000,3
ABT1,HCT116,-0.1696969696969697,0.054945054945054944,1000,3
ABTB1,HCT116,0.1842712842712842,0.04395604395604396,1000,3
ABTB2,HCT116,-0.0416305916305916,0.6363636363636364,1000,3
ABTB3,HCT116,-0.069047619047619,0.4905094905094905,1000,3
ACAA1,HCT116,0.0155122655122655,0.8601398601398601,1000,3
ACAA2,HCT116,0.0911976911976912,0.3016983016983017,1000,3
ACACA,HCT116,0.0156565656565656,0.8331668331668332,1000,3
ACACB,HCT116,-0.0355699855699855,0.7042957042957043,1000,3
ACAD10,HCT116,0.0455266955266955,0.6033966033966034,1000,3
ACAD11,HCT116,0.0638528138528138,0.4855144855144855,1000,3
ACAD8,HCT116,0.0464646464646464,0.5794205794205795,1000,3
ACAD9,HCT116,0.0453102453102453,0.6513486513486514,1000,3
ACADL,HCT116,0.0414141414141414,0.6773226773226774,1000,3
ACADM,HCT116,-0.1307359307359307,0.16083916083916083,1000,3
ACADS,HCT116,0.1003607503607503,0.2647352647352647,1000,3
ACADSB,HCT116,-0.0725829725829725,0.44255744255744256,1000,3
ACADVL,HCT116,0.0434343434343434,0.6433566433566433,1000,3
ACAN,HCT116,0.0121933621933621,0.8961038961038961,1000,3
ACAP1,HCT116,-0.0653679653679653,0.4835164835164835,1000,3
ACAP2,HCT116,0.315079365079365,0.001998001998001998,1000,3
ACAP3,HCT116,0.2212121212121212,0.01898101898101898,1000,3
ACAT1,HCT116,0.0852813852813852,0.3516483516483517,1000,3
ACAT2,HCT116,-0.0782828282828282,0.37662337662337664,1000,3
ACBD3,HCT116,0.1039682539682539,0.2647352647352647,1000,3
ACBD4,HCT116,-0.0427128427128427,0.6693306693306693,1000,3
ACBD5,HCT116,-0.3002164502164502,0.001998001998001998,1000,3
ACBD6,HCT116,-0.1923520923520923,0.03996003996003996,1000,3
ACBD7,HCT116,-0.0268398268398268,0.7712287712287712,1000,3
ACCS,HCT116,-0.0103174603174603,0.9110889110889111,1000,3
ACCSL,HCT116,-0.0476190476190476,0.6233766233766234,1000,3
ACD,HCT116,-0.166017316017316,0.06893106893106893,1000,3
ACE,HCT116,0.1461038961038961,0.0979020979020979,1000,3
ACE2,HCT116,-0.087085137085137,0.33666333666333664,1000,3
ACER1,HCT116,0.1743145743145743,0.054945054945054944,1000,3
ACER2,HCT116,0.1904761904761904,0.04195804195804196,1000,3
ACER3,HCT116,-0.0434343434343434,0.6353646353646354,1000,3
ACHE,HCT116,-0.0041125541125541,0.972027972027972,1000,3
ACIN1,HCT116,-0.0752525252525252,0.42857142857142855,1000,3
ACKR1,HCT116,-0.2623376623376623,0.004995004995004995,1000,3
ACKR2,HCT116,0.2296536796536796,0.017982017982017984,1000,3
ACKR3,HCT116,0.1114718614718614,0.19880119880119881,1000,3
ACKR4,HCT116,-0.0012987012987012,0.994005994005994,1000,3
ACLY,HCT116,-0.0245310245310245,0.8091908091908092,1000,3
ACMSD,HCT116,-0.0196969696969696,0.8241758241758241,1000,3
ACO1,HCT116,0.1056277056277056,0.2647352647352647,1000,3
ACO2,HCT116,0.2111111111111111,0.03296703296703297,1000,3
ACOD1,HCT116,-0.0416305916305916,0.6913086913086913,1000,3
ACOT1,HCT116,,0.000999000999000999,1000,3
ACOT11,HCT116,-0.0668109668109668,0.45854145854145856,1000,3
ACOT12,HCT116,0.0212121212121212,0.8121878121878122,1000,3
ACOT13,HCT116,-0.1336219336219336,0.13786213786213786,1000,3
ACOT2,HCT116,0.095021645021645,0.28471528471528473,1000,3
ACOT4,HCT116,0.3782106782106782,0.000999000999000999,1000,3
ACOT6,HCT116,-0.1606782106782106,0.08191808191808192,1000,3
ACOT7,HCT116,0.0283549783549783,0.7562437562437563,1000,3
ACOT8,HCT116,-0.0165945165945165,0.8671328671328671,1000,3
ACOT9,HCT116,0.1691197691197691,0.07192807192807193,1000,3
ACOX1,HCT116,-0.0909812409812409,0.3196803196803197,1000,3
ACOX2,HCT116,0.2049062049062049,0.027972027972027972,1000,3
ACOX3,HCT116,-0.0269119769119769,0.7812187812187812,1000,3
ACOXL,HCT116,-0.0284992784992785,0.7612387612387612,1000,3
ACP1,HCT116,-0.0195526695526695,0.8321678321678322,1000,3
ACP2,HCT116,0.0088744588744588,0.9120879120879121,1000,3
ACP3,HCT116,-0.2333333333333333,0.01098901098901099,1000,3
ACP4,HCT116,0.0656565656565656,0.44955044955044954,1000,3
ACP5,HCT116,0.053030303030303,0.5624375624375625,1000,3
ACP6,HCT116,-0.1099567099567099,0.21578421578421578,1000,3
ACP7,HCT116,0.0962481962481962,0.28771228771228774,1000,3
