DRUG_NAME,delta_R_minus_S_GDSC2,mannwhitney_p_BH_GDSC2,n_overlap_GDSC2,spearman_p_BH_GDSC2,spearman_r_GDSC2
N25720-51-A1,0.4341440000000003,0.13456654811735758,41.0,0.1400748725567421,0.2418118466898955
N27922-53-1,0.42701999999999973,0.09439158498479074,41.0,0.01514265984015264,0.40749128919860633
N29087-69-1,0.5975864999999994,0.043963351255497725,41.0,0.003220459079360462,0.49076655052264817
N30652-18-1,0.2879094999999996,0.19136139191516974,41.0,0.04310722903865881,0.33432055749128925
NU7441,0.8564145000000001,0.01988644856683412,45.0,0.0034751043182934447,0.4664031620553359
NVP-ADW742,0.9473585,0.03676957599312764,44.0,0.0031942379646400735,0.47596899224806194
Navitoclax,-0.6180299999999999,1.0,46.0,0.5746267664087588,-0.08775824853530681
Nelarabine,0.5534409999999994,0.04285277533833285,45.0,0.0027436772061595963,0.4793148880105401
Nilotinib,1.1144320000000008,0.005604813125947848,44.0,0.0002841727276763665,0.584214235377026
Niraparib,0.9573619999999998,0.011194175322988931,46.0,0.00021157542429067533,0.5823620104841196
Nutlin-3a (-),2.5314859999999997,0.03411177939635223,46.0,0.0019452010576192144,0.49293863706444646
OF-1,0.7068749999999993,0.08586662479572274,46.0,0.062062740992299165,0.2899167437557817
OSI-027,0.7241589999999998,0.011533906854939976,46.0,0.0015722051500547812,0.5055195806352143
OTX015,0.7300369999999998,0.09548850070675655,46.0,0.025974179330779085,0.3506012950971323
Obatoclax Mesylate,0.8255414999999999,0.035283993063451445,45.0,0.011658207932750235,0.40434782608695646
Olaparib,0.43606999999999996,0.057286443625190184,46.0,0.0017873669024694263,0.49811902559358623
Osimertinib,0.20678050000000026,0.327683659358633,44.0,0.02281100125050668,0.3668780831571529
P22077,1.1109780000000011,0.07587820870046663,44.0,0.049357356274036535,0.3120507399577167
PAK_5339,0.8023285000000002,0.00357873776566538,45.0,0.00036214032866322657,0.569828722002635
PBD-288,1.282384,0.011776951394082242,42.0,0.0001874165526728855,0.6110525889312051
PCI-34051,0.4577050000000007,0.31617570531771433,46.0,0.06253979154185403,0.28917668825161885
PD0325901,1.194591,0.043963351255497725,46.0,0.04383674266163247,0.3140918902251002
PD173074,0.9356930000000006,0.006373273979783107,45.0,0.0024067214945469617,0.4849802371541501
PFI-1,0.3235204999999999,0.10260155452931508,45.0,0.008469315671547342,0.4229249011857707
PFI3,0.19548200000000016,0.40659410150621667,46.0,0.04420238828013971,0.31335183472093736
PLX-4720,0.8069929999999994,0.047093233442553215,46.0,0.03291943024963467,0.3346901017576318
POMHEX,0.4070719999999999,0.19136139191516974,42.0,0.22517314081409082,0.1966615347216595
PRIMA-1MET,2.0905689999999995,0.006958575988951452,46.0,0.0020654632478664765,0.48911501695960524
PRT062607,1.0331270000000004,0.06725033494939306,46.0,0.005344482319610658,0.4419981498612396
Paclitaxel,3.4857685000000003,0.01988644856683412,44.0,0.0004933015165243887,0.5599718111346018
Palbociclib,1.824608,0.002980903675785583,46.0,1.2373641757974571e-06,0.7388837496145545
Pevonedistat,1.8109989999999998,0.01690743568679045,44.0,0.001107682487197301,0.5293868921775898
Picolinici-acid,0.3724790000000002,0.15571159676973226,46.0,0.008317079294398044,0.41991982732038236
Pictilisib,0.9816459999999998,0.043963351255497725,45.0,0.003220459079360462,0.4699604743083004
Podophyllotoxin bromide,1.337459,0.009406665735147096,45.0,0.0001874165526728855,0.5936758893280631
Pyridostatin,0.8700460000000003,0.043963351255497725,41.0,0.009220798766294037,0.4357142857142858
RO-3306,0.8527780000000003,0.07831801047783446,45.0,0.0005680305606607537,0.5478260869565217
RVX-208,0.20127199999999945,0.1688867462560662,46.0,0.009014944376041395,0.4152328091273512
Rapamycin,0.8709269999999999,0.12805532544981382,43.0,0.04838207816822107,0.31742675928722436
