group,state,n_donors,spearman_rho,P,donor_consistency,direction,BH_FDR,state_association_interpretation
normal,stress_like_epithelial,36,-0.008751608751608752,0.9595985311427969,0.5555555555555556,negative,0.9797930769598763,state rises as PPAR/NR falls
pooled,PPARG,72,0.5472056080776899,6.565454268105087e-07,0.7777777777777778,positive,3.1368281503168746e-06,anchor expression association
tumor,PPARG,36,0.4676962676962677,0.004024270115441982,0.6111111111111112,positive,0.014420301247000437,anchor expression association
normal,PPARG,36,0.07593307593307594,0.6598241026691999,0.5555555555555556,positive,0.9152398843476,anchor expression association
pooled,PPARA,72,0.5959755931087906,3.3300154502189135e-08,0.75,positive,2.386511072656888e-07,anchor expression association
tumor,PPARA,36,0.5818907277639204,0.00019723272655926104,0.6666666666666666,positive,0.002302946483687663,anchor expression association
normal,PPARA,36,-0.01415701415701416,0.9346878091083928,0.4444444444444444,negative,0.9797930769598763,anchor expression association
pooled,PPARD,72,0.2685060132484405,0.022576426802448344,0.6666666666666666,positive,0.04412665238660358,anchor expression association
tumor,PPARD,36,-0.08082368082368084,0.6393587567697459,0.4444444444444444,negative,0.6705469888072945,anchor expression association
normal,PPARD,36,0.4790218790218791,0.0031196783044187626,0.6666666666666666,positive,0.04825187738616602,anchor expression association
pooled,NR1I2,72,0.4020197524079337,0.00046442938024130766,0.5833333333333334,positive,0.0013313642233584153,anchor expression association
tumor,NR1I2,36,0.34768070105820015,0.037729453379210694,0.7222222222222222,positive,0.07721251728567129,anchor expression association
normal,NR1I2,36,0.32792792792792796,0.05087889619856825,0.5555555555555556,positive,0.36463208942307246,anchor expression association
pooled,NR1I3,72,0.8231017555740358,7.215474619557084e-19,0.9861111111111112,positive,3.1026540864095466e-17,anchor expression association
tumor,NR1I3,36,0.5792473425604658,0.00021422757987792212,1.0,positive,0.002302946483687663,anchor expression association
normal,NR1I3,36,0.9020991879073867,5.825907920101117e-14,0.9444444444444444,positive,2.5051404056434803e-12,anchor expression association
pooled,NR1H2,72,0.46044761721011,4.70670639279884e-05,0.6944444444444444,positive,0.00014456312492167864,anchor expression association
