donor_id,condition,state,cell_count,state_fraction,n_paired_donors,paired_median_delta,paired_wilcoxon_P,paired_BH_FDR,paired_direction
C137,normal,other epithelial annotation,29.0,0.0777479892761394,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C137,normal,secretory-like annotation,100.0,0.2680965147453083,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C137,tumor,enterocyte-like annotation,3.0,0.1875,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C137,tumor,other epithelial annotation,1.0,0.0625,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C137,tumor,secretory-like annotation,12.0,0.75,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C138,normal,enterocyte-like annotation,294.0,0.551594746716698,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C138,normal,other epithelial annotation,5.0,0.009380863039399626,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C138,normal,secretory-like annotation,234.0,0.43902439024390244,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C138,tumor,enterocyte-like annotation,9.0,0.10975609756097561,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C138,tumor,other epithelial annotation,0.0,0.0,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C138,tumor,secretory-like annotation,73.0,0.8902439024390244,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C139,normal,enterocyte-like annotation,398.0,0.6257861635220126,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C139,normal,other epithelial annotation,141.0,0.22169811320754718,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C139,normal,secretory-like annotation,97.0,0.15251572327044025,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C139,tumor,enterocyte-like annotation,456.0,0.7058823529411765,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C139,tumor,other epithelial annotation,7.0,0.010835913312693499,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C139,tumor,secretory-like annotation,183.0,0.28328173374613,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C140,normal,enterocyte-like annotation,164.0,0.19339622641509435,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C140,normal,other epithelial annotation,73.0,0.08608490566037735,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C140,normal,secretory-like annotation,611.0,0.7205188679245284,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C140,tumor,enterocyte-like annotation,83.0,0.6859504132231405,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C140,tumor,other epithelial annotation,1.0,0.008264462809917356,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C140,tumor,secretory-like annotation,37.0,0.30578512396694213,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C142,normal,enterocyte-like annotation,473.0,0.6955882352941176,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C142,normal,other epithelial annotation,98.0,0.14411764705882352,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C142,normal,secretory-like annotation,109.0,0.16029411764705884,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C142,tumor,enterocyte-like annotation,370.0,0.74,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C142,tumor,other epithelial annotation,16.0,0.032,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C142,tumor,secretory-like annotation,114.0,0.228,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C143,normal,enterocyte-like annotation,428.0,0.3292307692307692,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C143,normal,other epithelial annotation,266.0,0.20461538461538462,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C143,normal,secretory-like annotation,606.0,0.46615384615384614,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C143,tumor,enterocyte-like annotation,34.0,0.3695652173913043,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C143,tumor,other epithelial annotation,5.0,0.05434782608695652,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
C143,tumor,secretory-like annotation,53.0,0.5760869565217391,36,0.10894747790148593,0.004354625125415623,0.006531937688123435,up
C151,normal,enterocyte-like annotation,663.0,0.34,36,-0.005797091556526385,0.37916652829153463,0.37916652829153463,down
C151,normal,other epithelial annotation,248.0,0.12717948717948718,36,-0.078889006534182,9.082723408937454e-07,2.7248170226812363e-06,down
