gene,observed_global_T_median_vulnerability_rho,global_empirical_p_value,n_permutations,permutation_unit,self_line_exclusion,global_empirical_q_value
ACCS,-0.0771284271284271,0.2917082917082917,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7907078224538543
ACCSL,-0.015584415584415602,0.8111888111888111,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9805796444451907
ACD,-0.1021645021645021,0.14585414585414586,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6299737732993003
ACE,0.13326118326118325,0.06893106893106893,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.45145444044591776
ACE2,0.005772005772005748,0.935064935064935,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9948062977215987
ACER1,0.05335497835497836,0.4595404595404595,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8821091481374578
ACER2,-0.029220779220779248,0.6783216783216783,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9509910082316012
ACER3,0.0013347763347763483,0.98001998001998,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9981161758303358
ACHE,-0.0586219336219336,0.4145854145854146,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8620291771362798
ACIN1,-0.11399711399711396,0.10589410589410589,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.5521642620879262
ACKR1,-0.1698412698412698,0.01998001998001998,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.2102062227561372
ACKR2,0.02766955266955265,0.7302697302697303,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9634194454425585
ACKR3,0.058621933621933554,0.42657342657342656,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8695063777955024
ACKR4,-0.012518037518037449,0.8581418581418582,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9872150999165747
ACLY,-0.0608225108225108,0.42157842157842157,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8664108345409883
ACMSD,0.0107864357864358,0.8781218781218781,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9896578137565315
ACO1,0.02987012987012985,0.6853146853146853,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9534026356836948
ACO2,0.08152958152958156,0.2597402597402597,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.7647492992320577
ACOD1,-0.05566378066378065,0.4565434565434565,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.881032852258132
ACOT1,,0.000999000999000999,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.014371743700916869
ACOT11,-0.0017316017316017004,0.981018981018981,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9981161758303358
ACOT12,0.0548340548340548,0.45354645354645357,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8796673932860704
ACOT13,-0.007070707070707,0.913086913086913,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9932443747563902
ACOT2,-0.012193362193362152,0.8681318681318682,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9894299866491191
ACOT4,0.10508658008658005,0.12987012987012986,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6024131803809871
ACOT6,-0.0953823953823953,0.1878121878121878,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6867208921134377
ACOT7,0.0184704184704184,0.7982017982017982,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9776255448471407
ACOT8,-0.0521645021645021,0.4825174825174825,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8924057290483282
ACOT9,-0.0483766233766234,0.5184815184815185,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9048405228382519
ACOX1,0.0203823953823954,0.7682317682317682,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9721731704874308
ACOX2,0.0387445887445887,0.5744255744255744,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9224277674603055
ACOX3,-0.02857142857142855,0.6893106893106893,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9538984134225793
ACOXL,0.0357142857142857,0.6183816183816184,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9351272702371425
ACP1,0.01334776334776335,0.8431568431568431,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9859070720550797
ACP2,0.04227994227994225,0.5374625374625375,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9127615950226244
ACP3,-0.10075757575757571,0.16883116883116883,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.6632062293404147
ACP4,0.0271645021645021,0.7182817182817183,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9608522325574621
ACP5,0.009920634920634948,0.8771228771228772,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9896578137565315
ACP6,-0.039502164502164504,0.5884115884115884,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.9275277713739252
ACP7,0.0522366522366522,0.4515484515484515,1000,one shared CRISPR row-label permutation across all trajectories/backgrounds,applied after global permutation per trajectory,0.8791204572899918
