cohort,Class,Side,cell_type,cell_type_source,n_cells,total_library_umi,total_umi,detected_cells,mean_cpm_per_cell,mean_log1p_cpm,gene_symbol,pseudobulk_cpm,log1p_pseudobulk_cpm,detection_rate,passes_min_cells
GSE188711,Tumor,Left,Epithelial,Marker-inferred from 10X UMI,3588,53166137,5,5,0.3451841880302505,0.006696909836696892,CD36,0.09404482405783968,0.0898816757910006,0.0013935340022296545,True
GSE188711,Tumor,Left,Fibroblast,Marker-inferred from 10X UMI,1032,7288026,106,30,17.394180911250764,0.1720150678507047,CD36,14.544404753770088,2.7437007509647713,0.029069767441860465,True
GSE188711,Tumor,Left,Mast,Marker-inferred from 10X UMI,193,762724,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE188711,Tumor,Left,Myeloid,Marker-inferred from 10X UMI,2061,13502592,431,236,28.627078691620607,0.5948967881037287,CD36,31.919797324839557,3.494074219193306,0.11450752062105773,True
GSE188711,Tumor,Left,Neutrophil,Marker-inferred from 10X UMI,667,1098444,44,22,16.95688454130362,0.19729961111631075,CD36,40.056661969112675,3.7149531118689256,0.03298350824587706,True
GSE188711,Tumor,Left,T_NK,Marker-inferred from 10X UMI,4713,16986705,8,6,0.38526602613279853,0.007259998957226023,CD36,0.47095655102034206,0.38591290414727625,0.001273074474856779,True
GSE188711,Tumor,Left,Unclassified,Marker-inferred from 10X UMI,85,122299,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE188711,Tumor,Right,B_Plasma,Marker-inferred from 10X UMI,4573,40016547,20,15,0.9467772986741059,0.0165456966440531,CD36,0.499793248028122,0.40532726396017765,0.0032801224579050953,True
GSE188711,Tumor,Right,Endothelial,Marker-inferred from 10X UMI,314,1919144,476,64,332.2837210519314,1.408905985651478,CD36,248.02724548027663,5.517562310078325,0.20382165605095542,True
GSE188711,Tumor,Right,Epithelial,Marker-inferred from 10X UMI,3375,42953083,39,21,1.7339496657056614,0.02977809814327097,CD36,0.9079674211045573,0.6460384979875275,0.006222222222222222,True
GSE188711,Tumor,Right,Fibroblast,Marker-inferred from 10X UMI,685,3738693,236,63,96.05095216755448,0.61520691357666,CD36,63.12366380443647,4.1608134659161164,0.09197080291970802,True
GSE188711,Tumor,Right,Mast,Marker-inferred from 10X UMI,498,1749218,2,2,1.7319250892011562,0.022836332393124943,CD36,1.1433680650439224,0.7623784539807278,0.004016064257028112,True
GSE188711,Tumor,Right,Myeloid,Marker-inferred from 10X UMI,1475,9299094,835,311,74.95105085527304,1.1511993316271854,CD36,89.79369388028555,4.50858983253779,0.21084745762711865,True
GSE188711,Tumor,Right,Neutrophil,Marker-inferred from 10X UMI,535,829489,21,13,5.235431157295628,0.12564436824160233,CD36,25.316791422188842,3.270207192574129,0.024299065420560748,True
GSE188711,Tumor,Right,T_NK,Marker-inferred from 10X UMI,5612,21110747,12,11,0.5521149172354856,0.010822428312248012,CD36,0.5684308565679841,0.4500756651573181,0.0019600855310049894,True
GSE188711,Tumor,Right,Unclassified,Marker-inferred from 10X UMI,146,339057,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE200997,Normal,Left,B_Plasma,Marker-inferred from raw UMI,3494,16924610,6,3,0.29614214289327345,0.0049560716754214204,CD36,0.3545133388598024,0.30344223030537787,0.0008586147681740126,True
GSE200997,Normal,Left,Endothelial,Marker-inferred from raw UMI,34,64696,5,3,156.2790443433726,0.648882571987368,CD36,77.28453072832941,4.360350019344669,0.08823529411764706,False
GSE200997,Normal,Left,Epithelial,Marker-inferred from raw UMI,1615,3244817,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE200997,Normal,Left,Fibroblast,Marker-inferred from raw UMI,118,349478,64,13,271.4520415905558,0.8226272219037611,CD36,183.13026857198452,5.215643488477883,0.11016949152542373,True
GSE200997,Normal,Left,Mast,Marker-inferred from raw UMI,28,51261,0,0,0.0,0.0,CD36,0.0,0.0,0.0,False
GSE200997,Normal,Left,Myeloid,Marker-inferred from raw UMI,70,341667,18,10,42.9331667278873,0.7850711607440299,CD36,52.682875431341046,3.983094057386431,0.14285714285714285,True
GSE200997,Normal,Left,Neutrophil,Marker-inferred from raw UMI,10,21126,2,2,30.889161413691273,1.0057152666086158,CD36,94.67007478935908,4.560905551432836,0.2,False
GSE200997,Normal,Left,T_NK,Marker-inferred from raw UMI,6528,20227980,1,1,0.03263448540899103,0.000822021017017415,CD36,0.0494364736370117,0.04825332832457718,0.00015318627450980392,True
GSE200997,Normal,Left,Unclassified,Marker-inferred from raw UMI,154,118237,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE200997,Normal,Right,B_Plasma,Marker-inferred from raw UMI,1945,10054017,1,1,0.14945895856997668,0.002918106891686947,CD36,0.099462732159693,0.09482163517645974,0.0005141388174807198,True
GSE200997,Normal,Right,Endothelial,Marker-inferred from raw UMI,25,51112,23,3,555.5250820256962,0.8826084104204961,CD36,449.99217404914697,6.111449986911207,0.12,False
GSE200997,Normal,Right,Epithelial,Marker-inferred from raw UMI,1160,2835872,0,0,0.0,0.0,CD36,0.0,0.0,0.0,True
GSE200997,Normal,Right,Fibroblast,Marker-inferred from raw UMI,83,214901,55,15,422.7410735015935,1.3447464909639428,CD36,255.93180115495042,5.548810684523822,0.18072289156626506,True
GSE200997,Normal,Right,Mast,Marker-inferred from raw UMI,12,12107,0,0,0.0,0.0,CD36,0.0,0.0,0.0,False
GSE200997,Normal,Right,Myeloid,Marker-inferred from raw UMI,32,122266,1,1,32.316442605997935,0.21694620610211474,CD36,8.178888652609883,2.216906135496625,0.03125,False
GSE200997,Normal,Right,Neutrophil,Marker-inferred from raw UMI,2,17878,2,1,122.6241569589209,2.753170216497306,CD36,111.86933661483387,4.726230836523435,0.5,False
