test_id,biomarker,exposure_axis,ranking_method,destination_sex,outcome_id,outcome_name,organ_system_id,organ_system_name,sex_beta,sex_se,sex_z,beta_interaction,p_interaction,bh_q_interaction_fixed406,interaction_direction_supports_destination,primary_interaction_sign,creatinine_beta,creatinine_direction_agrees,loco_successful_n,loco_min_beta,loco_max_beta,loco_sign_reversals,winsor_beta,tail_delete_beta,lod_beta,cycle_heterogeneity_p,cycle_heterogeneity_status
NHANES_URXP25,URXP25,PAH exposure axis,z,male,obesity,Obesity,metabolic,Metabolic,0.1261917943148894,0.0554642643833778,2.2751909850030945,0.2016108110264487,0.0013499002990006,0.0421584247226351,False,1.0,0.2016108110264486,True,3,0.193464502286474,0.2098092329990167,0,0.203076660264148,0.2081738175503341,0.192831961933126,0.6745363441718504,ok
NHANES_URXP25,URXP25,PAH exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.260577719331736,0.0430232395681402,6.056673601229704,0.2016108110264487,0.0013499002990006,0.0421584247226351,True,1.0,0.2016108110264486,True,3,0.193464502286474,0.2098092329990167,0,0.203076660264148,0.2081738175503341,0.192831961933126,0.6745363441718504,ok
NHANES_URXUBA,URXUBA,metal exposure axis,effect,male,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.2006044432388051,0.0511587891202797,-3.921211715296133,0.2770582623972933,0.0002914398238783,0.0147905710618275,False,1.0,0.2770582623972933,True,10,0.2173606619310265,0.3433371195345295,0,0.2834955795673392,0.2719630772629028,0.2743471828310077,0.0020164192205362,ok
NHANES_URXUBA,URXUBA,metal exposure axis,effect,female,obesity,Obesity,metabolic,Metabolic,0.160704067534203,0.0208849832998298,7.694718507891392,0.0497636299484352,0.1050001636824972,0.485572156228093,True,1.0,0.0497636299484352,True,10,0.0317392520509625,0.0704139094900369,0,0.0498722214902251,0.0535236151846116,0.0419377481471099,0.1612349872972077,ok
NHANES_URXUBA,URXUBA,metal exposure axis,z,male,congestive_heart_failure,Congestive heart failure,cardiovascular,Cardiovascular,-0.2006044432388051,0.0511587891202797,-3.921211715296133,0.2770582623972933,0.0002914398238783,0.0147905710618275,False,1.0,0.2770582623972933,True,10,0.2173606619310265,0.3433371195345295,0,0.2834955795673392,0.2719630772629028,0.2743471828310077,0.0020164192205362,ok
NHANES_URXUBA,URXUBA,metal exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.160704067534203,0.0208849832998298,7.694718507891392,0.0497636299484352,0.1050001636824972,0.485572156228093,True,1.0,0.0497636299484352,True,10,0.0317392520509625,0.0704139094900369,0,0.0498722214902251,0.0535236151846116,0.0419377481471099,0.1612349872972077,ok
NHANES_URXUCD,URXUCD,metal exposure axis,effect,male,emphysema,Emphysema,respiratory,Respiratory,0.2597470912511422,0.0966923484080443,2.6863251904380534,-0.0448121795319503,0.773148093182207,0.9573168049977776,True,-1.0,-0.0448121795319502,True,8,-0.127841057437155,0.0687894777477351,2,-0.0463027480783427,-0.0628301031638325,0.1184913283488476,0.2176621796205827,ok
NHANES_URXUCD,URXUCD,metal exposure axis,effect,female,emphysema,Emphysema,respiratory,Respiratory,0.2813203588608634,0.1359332002264899,2.0695485605586534,-0.0448121795319503,0.773148093182207,0.9573168049977776,False,-1.0,-0.0448121795319502,True,8,-0.127841057437155,0.0687894777477351,2,-0.0463027480783427,-0.0628301031638325,0.1184913283488476,0.2176621796205827,ok
NHANES_URXUCD,URXUCD,metal exposure axis,z,male,emphysema,Emphysema,respiratory,Respiratory,0.2597470912511422,0.0966923484080443,2.6863251904380534,-0.0448121795319503,0.773148093182207,0.9573168049977776,True,-1.0,-0.0448121795319502,True,8,-0.127841057437155,0.0687894777477351,2,-0.0463027480783427,-0.0628301031638325,0.1184913283488476,0.2176621796205827,ok
NHANES_URXUCD,URXUCD,metal exposure axis,z,female,obesity,Obesity,metabolic,Metabolic,0.0943107300207138,0.027275508417094,3.4577075000225386,0.1259828357521982,0.0009225112729774,0.031211631402402,True,1.0,0.1259828357521981,True,8,0.1128599144363052,0.1406077507975454,0,0.1267201559838936,0.1211017516814474,0.1363814792959857,0.9715556617518812,ok
