cluster_id,theme_label,term_id,source,term_name,global_fdr,intersection_size,term_theme_id,term_theme_label,intersection_genes
theme_32,Apoptosis / programmed cell death,GO:0042981,GO:BP,regulation of apoptotic process,0.026253202802905256,11,apoptosis_cell_death,Apoptosis / programmed cell death,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
theme_32,Apoptosis / programmed cell death,GO:0006915,GO:BP,apoptotic process,0.02933133489791236,12,apoptosis_cell_death,Apoptosis / programmed cell death,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
theme_32,Apoptosis / programmed cell death,GO:0043067,GO:BP,regulation of programmed cell death,0.030115366957533606,11,apoptosis_cell_death,Apoptosis / programmed cell death,BECN1;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
theme_32,Apoptosis / programmed cell death,GO:0043066,GO:BP,negative regulation of apoptotic process,0.03658169649799155,9,apoptosis_cell_death,Apoptosis / programmed cell death,BECN1;DKK1;ESR1;MMP9;PPARD;PTGS2;RELA;SIRT1;TIMP1
theme_32,Apoptosis / programmed cell death,GO:0008219,GO:BP,cell death,0.03732800247468826,12,apoptosis_cell_death,Apoptosis / programmed cell death,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
theme_32,Apoptosis / programmed cell death,GO:0012501,GO:BP,programmed cell death,0.03732800247468826,12,apoptosis_cell_death,Apoptosis / programmed cell death,BECN1;CXCR4;DKK1;ESR1;MMP2;MMP9;PPARD;PPARG;PTGS2;RELA;SIRT1;TIMP1
theme_32,Apoptosis / programmed cell death,GO:0043069,GO:BP,negative regulation of programmed cell death,0.04876019881269913,9,apoptosis_cell_death,Apoptosis / programmed cell death,BECN1;DKK1;ESR1;MMP9;PPARD;PTGS2;RELA;SIRT1;TIMP1
theme_33,Lipid / fatty-acid / eicosanoid metabolism,GO:0008202,GO:BP,steroid metabolic process,0.026253202802905256,5,lipid_eicosanoid,Lipid / fatty-acid / eicosanoid metabolism,CYP1A2;CYP3A4;ESR1;PPARD;SIRT1
theme_34,Inflammation / defense / stimulus response,GO:0043207,GO:BP,response to external biotic stimulus,0.026253202802905256,9,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
theme_34,Inflammation / defense / stimulus response,GO:0051707,GO:BP,response to other organism,0.026253202802905256,9,inflammation_defense,Inflammation / defense / stimulus response,BECN1;CRP;CXCR4;ESR1;MMP9;PPARD;PPARG;PTGS2;RELA
