dataset_id,sample_id,group,pair_id,gene_symbol,expression_value,expression_scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IL4,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IL5,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,IL6,0.6332,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,INHBA,-3.308,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,LDLR,4.709,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,LEPR,1.465,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,MIR143,-9.966,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,MKI67,3.488,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,MMP2,6.002,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,MMP9,-0.1345,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,MUC2,8.064,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,NFE2L2,5.651,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,NLRP3,-0.4131,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,NOS3,1.799,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,NR1I2,4.727,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,NR3C1,2.943,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,NR4A1,5.997,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,PGR,-0.9686,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,PPARA,3.363,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,PPARD,5.142,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,PPARG,5.991,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,RBFOX1,-2.466,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,RELA,5.49,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,RXRA,5.625,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,RYR1,-1.318,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,SIRT1,2.74,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,SIRT3,3.84,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,SLC2A1,6.251,Toil/Xena RSEM TPM delivered on log2-like scale
TCGA-COAD+GTEx-colon,TCGA-A6-2671-11,normal,TCGA-A6-2671,SLC2A3,2.514,Toil/Xena RSEM TPM delivered on log2-like scale
